 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  year4_3400_350.inp                                                    
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Central source spectrum described by a black body                       
  with temperature: 3400 K
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  MRN size distribution:
       Power q:  3.5
  Minimal size: 5.00E-03 microns
  Maximal size: 2.50E-01 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 350  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 733  K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
   1 1.00E-01 7.91E+02 1.97E+15 9.79E+01 1.47E+01   12   0  6.79E-06 6.93E+00 2.64E+00
   2 1.06E-01 7.81E+02 1.98E+15 9.85E+01 1.48E+01   12   0  7.14E-06 6.93E+00 2.69E+00
   3 1.13E-01 7.68E+02 2.00E+15 9.94E+01 1.49E+01   12   0  7.59E-06 6.98E+00 2.74E+00
   4 1.21E-01 7.57E+02 2.01E+15 1.00E+02 1.50E+01   12   0  7.97E-06 6.97E+00 2.78E+00
   5 1.29E-01 7.47E+02 2.02E+15 1.01E+02 1.51E+01   12   0  8.37E-06 6.97E+00 2.82E+00
   6 1.37E-01 7.36E+02 2.04E+15 1.01E+02 1.52E+01   12   0  8.78E-06 6.95E+00 2.86E+00
   7 1.46E-01 7.25E+02 2.05E+15 1.02E+02 1.53E+01   11   0  9.22E-06 6.93E+00 2.90E+00
   8 1.55E-01 7.15E+02 2.07E+15 1.03E+02 1.54E+01   11   0  9.67E-06 6.91E+00 2.93E+00
   9 1.65E-01 7.04E+02 2.08E+15 1.04E+02 1.56E+01   11   0  1.01E-05 6.88E+00 2.96E+00
  10 1.76E-01 6.93E+02 2.10E+15 1.05E+02 1.57E+01   11   0  1.06E-05 6.84E+00 2.99E+00
  11 1.87E-01 6.82E+02 2.12E+15 1.05E+02 1.58E+01   11   0  1.12E-05 6.79E+00 3.01E+00
  12 1.99E-01 6.72E+02 2.13E+15 1.06E+02 1.59E+01   11   0  1.17E-05 6.74E+00 3.03E+00
  13 2.12E-01 6.61E+02 2.15E+15 1.07E+02 1.60E+01   11   0  1.22E-05 6.68E+00 3.05E+00
  14 2.26E-01 6.51E+02 2.17E+15 1.08E+02 1.62E+01   11   0  1.28E-05 6.62E+00 3.07E+00
  15 2.41E-01 6.40E+02 2.19E+15 1.09E+02 1.63E+01   11   0  1.34E-05 6.55E+00 3.08E+00
  16 2.56E-01 6.30E+02 2.20E+15 1.10E+02 1.64E+01   11   0  1.40E-05 6.47E+00 3.08E+00
  17 2.73E-01 6.20E+02 2.22E+15 1.11E+02 1.66E+01   11   0  1.47E-05 6.39E+00 3.09E+00
  18 2.91E-01 6.10E+02 2.24E+15 1.11E+02 1.67E+01   11   0  1.53E-05 6.29E+00 3.09E+00
  19 3.10E-01 6.00E+02 2.26E+15 1.12E+02 1.68E+01   11   0  1.60E-05 6.20E+00 3.08E+00
  20 3.30E-01 5.91E+02 2.28E+15 1.13E+02 1.70E+01   11   0  1.67E-05 6.09E+00 3.07E+00
  21 3.51E-01 5.81E+02 2.29E+15 1.14E+02 1.71E+01   11   0  1.74E-05 5.98E+00 3.06E+00
  22 3.74E-01 5.72E+02 2.31E+15 1.15E+02 1.72E+01   10   0  1.82E-05 5.87E+00 3.05E+00
  23 3.98E-01 5.63E+02 2.33E+15 1.16E+02 1.74E+01   10   0  1.89E-05 5.75E+00 3.03E+00
  24 4.24E-01 5.55E+02 2.35E+15 1.17E+02 1.75E+01   10   0  1.97E-05 5.62E+00 3.00E+00
  25 4.51E-01 5.46E+02 2.37E+15 1.18E+02 1.77E+01   10   0  2.05E-05 5.49E+00 2.98E+00
  26 4.80E-01 5.38E+02 2.38E+15 1.19E+02 1.78E+01   10   0  2.13E-05 5.36E+00 2.95E+00
  27 5.11E-01 5.30E+02 2.40E+15 1.20E+02 1.79E+01   10   0  2.22E-05 5.22E+00 2.91E+00
  28 5.45E-01 5.22E+02 2.42E+15 1.21E+02 1.81E+01   10   0  2.30E-05 5.08E+00 2.88E+00
  29 5.80E-01 5.15E+02 2.44E+15 1.21E+02 1.82E+01   10   0  2.41E-05 5.00E+00 2.85E+00
  30 6.17E-01 5.07E+02 2.46E+15 1.22E+02 1.83E+01   10   0  2.51E-05 4.92E+00 2.83E+00
  31 6.57E-01 5.00E+02 2.47E+15 1.23E+02 1.85E+01   10   0  2.62E-05 4.83E+00 2.80E+00
  32 7.00E-01 4.93E+02 2.49E+15 1.24E+02 1.86E+01   10   0  2.74E-05 4.75E+00 2.77E+00
  33 7.45E-01 4.86E+02 2.51E+15 1.25E+02 1.87E+01   10   0  2.86E-05 4.66E+00 2.73E+00
  34 7.94E-01 4.79E+02 2.53E+15 1.26E+02 1.89E+01   10   0  2.98E-05 4.57E+00 2.70E+00
  35 8.45E-01 4.73E+02 2.54E+15 1.27E+02 1.90E+01   10   0  3.11E-05 4.49E+00 2.66E+00
  36 9.00E-01 4.66E+02 2.56E+15 1.28E+02 1.91E+01   10   0  3.25E-05 4.40E+00 2.62E+00
  37 9.58E-01 4.60E+02 2.58E+15 1.28E+02 1.92E+01    9   0 3.39E-05 4.31E+00 2.58E+00
  38 1.02E+00 4.54E+02 2.60E+15 1.29E+02 1.94E+01    9   0 3.53E-05 4.23E+00 2.54E+00
  39 1.09E+00 4.48E+02 2.61E+15 1.30E+02 1.95E+01    9   0 3.68E-05 4.14E+00 2.49E+00
  40 1.16E+00 4.42E+02 2.63E+15 1.31E+02 1.96E+01    9   0 3.84E-05 4.06E+00 2.45E+00
  41 1.23E+00 4.36E+02 2.65E+15 1.32E+02 1.98E+01    9   0 4.01E-05 3.97E+00 2.40E+00
  42 1.31E+00 4.31E+02 2.66E+15 1.33E+02 1.99E+01    9   0 4.13E-05 3.91E+00 2.36E+00
  43 1.40E+00 4.25E+02 2.68E+15 1.34E+02 2.00E+01    9   0 4.31E-05 3.83E+00 2.32E+00
  44 1.49E+00 4.20E+02 2.70E+15 1.34E+02 2.01E+01    9   0 4.49E-05 3.75E+00 2.27E+00
  45 1.58E+00 4.14E+02 2.72E+15 1.35E+02 2.03E+01    9   0 4.69E-05 3.67E+00 2.22E+00
  46 1.69E+00 4.08E+02 2.74E+15 1.36E+02 2.04E+01    9   0 4.91E-05 3.63E+00 2.16E+00
  47 1.80E+00 4.03E+02 2.76E+15 1.37E+02 2.06E+01    9   0 5.12E-05 3.56E+00 2.11E+00
