grid_name,teff,tinner,number,odep,c,d,e,f,g,h,mdot,vexp,i
corundum-20-bb,2600,1000,43,1.4,43000.0,267000000000000.0,7.77,1.99,19.0,0.0,1.22e-05,11.2,1.68
corundum-20-bb,2600,1000,44,1.49,42300.0,269000000000000.0,7.83,2.01,19.0,0.0,1.28e-05,11.1,1.66
corundum-20-bb,2600,1000,45,1.58,41600.0,271000000000000.0,7.9,2.02,19.0,0.0,1.35e-05,11.0,1.63
corundum-20-bb,2600,1000,46,1.69,40900.0,273000000000000.0,7.96,2.04,19.0,0.0,1.42e-05,10.8,1.61
corundum-20-bb,2600,1000,47,1.8,40300.0,275000000000000.0,8.02,2.05,19.0,0.0,1.48e-05,10.6,1.59
corundum-20-bb,2600,1000,48,1.91,39700.0,278000000000000.0,8.08,2.07,18.0,0.0,1.56e-05,10.5,1.57
corundum-20-bb,2600,1000,49,2.04,39100.0,280000000000000.0,8.14,2.09,18.0,0.0,1.63e-05,10.3,1.55
corundum-20-bb,2600,1000,50,2.17,38500.0,282000000000000.0,8.21,2.1,18.0,0.0,1.71e-05,10.2,1.52
corundum-20-bb,2600,1000,51,2.31,37900.0,284000000000000.0,8.27,2.12,18.0,0.0,1.79e-05,10.0,1.5
corundum-20-bb,2600,1000,52,2.46,37300.0,286000000000000.0,8.34,2.14,18.0,0.0,1.88e-05,9.86,1.48
corundum-20-bb,2600,1000,53,2.62,36900.0,288000000000000.0,8.38,2.15,18.0,0.0,1.94e-05,9.77,1.46
corundum-20-bb,2600,1000,54,2.79,36400.0,290000000000000.0,8.44,2.16,18.0,0.0,2.04e-05,9.63,1.44
corundum-20-bb,2600,1000,55,2.97,35800.0,292000000000000.0,8.51,2.18,18.0,0.0,2.14e-05,9.49,1.42
corundum-20-bb,2600,1000,56,3.16,35200.0,295000000000000.0,8.58,2.2,18.0,0.0,2.24e-05,9.36,1.4
corundum-20-bb,2600,1000,57,3.36,34600.0,297000000000000.0,8.65,2.22,18.0,0.0,2.35e-05,9.24,1.38
corundum-20-bb,2600,1000,58,3.58,34100.0,300000000000000.0,8.72,2.24,18.0,0.0,2.46e-05,9.12,1.35
corundum-20-bb,2600,1000,59,3.81,33400.0,303000000000000.0,8.81,2.26,17.0,0.0,2.6e-05,9.07,1.33
corundum-20-bb,2600,1000,60,4.06,32800.0,305000000000000.0,8.89,2.28,17.0,0.0,2.73e-05,8.96,1.3
corundum-20-bb,2600,1000,61,4.32,32300.0,308000000000000.0,8.96,2.29,17.0,0.0,2.85e-05,9.06,1.27
