 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  year4_3500_350.inp                                                    
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Central source spectrum described by a black body                       
  with temperature: 3500 K
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  MRN size distribution:
       Power q:  3.5
  Minimal size: 5.00E-03 microns
  Maximal size: 2.50E-01 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 350  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 725  K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
   1 1.00E-01 7.49E+02 2.02E+15 1.07E+02 1.51E+01   12   0  7.07E-06 6.99E+00 2.78E+00
   2 1.06E-01 7.39E+02 2.03E+15 1.07E+02 1.52E+01   12   0  7.42E-06 7.00E+00 2.83E+00
   3 1.13E-01 7.26E+02 2.05E+15 1.08E+02 1.53E+01   12   0  7.89E-06 7.04E+00 2.88E+00
   4 1.21E-01 7.16E+02 2.07E+15 1.09E+02 1.54E+01   12   0  8.29E-06 7.03E+00 2.92E+00
   5 1.29E-01 7.06E+02 2.08E+15 1.10E+02 1.55E+01   12   0  8.70E-06 7.02E+00 2.96E+00
   6 1.37E-01 6.95E+02 2.10E+15 1.11E+02 1.56E+01   11   0  9.13E-06 7.00E+00 3.00E+00
   7 1.46E-01 6.85E+02 2.11E+15 1.11E+02 1.58E+01   11   0  9.58E-06 6.98E+00 3.04E+00
   8 1.55E-01 6.75E+02 2.13E+15 1.12E+02 1.59E+01   11   0  1.00E-05 6.95E+00 3.07E+00
   9 1.65E-01 6.65E+02 2.15E+15 1.13E+02 1.60E+01   11   0  1.05E-05 6.91E+00 3.10E+00
  10 1.76E-01 6.54E+02 2.16E+15 1.14E+02 1.61E+01   11   0  1.10E-05 6.87E+00 3.13E+00
  11 1.87E-01 6.44E+02 2.18E+15 1.15E+02 1.63E+01   11   0  1.16E-05 6.82E+00 3.15E+00
  12 1.99E-01 6.34E+02 2.20E+15 1.16E+02 1.64E+01   11   0  1.21E-05 6.77E+00 3.17E+00
  13 2.12E-01 6.24E+02 2.21E+15 1.17E+02 1.65E+01   11   0  1.27E-05 6.70E+00 3.19E+00
  14 2.26E-01 6.14E+02 2.23E+15 1.18E+02 1.67E+01   11   0  1.33E-05 6.63E+00 3.20E+00
  15 2.41E-01 6.04E+02 2.25E+15 1.19E+02 1.68E+01   11   0  1.39E-05 6.56E+00 3.21E+00
  16 2.56E-01 5.95E+02 2.27E+15 1.20E+02 1.69E+01   11   0  1.45E-05 6.47E+00 3.22E+00
  17 2.73E-01 5.85E+02 2.29E+15 1.21E+02 1.71E+01   11   0  1.52E-05 6.39E+00 3.22E+00
  18 2.91E-01 5.76E+02 2.30E+15 1.22E+02 1.72E+01   11   0  1.58E-05 6.29E+00 3.21E+00
  19 3.10E-01 5.67E+02 2.32E+15 1.23E+02 1.73E+01   11   0  1.65E-05 6.19E+00 3.21E+00
  20 3.30E-01 5.58E+02 2.34E+15 1.24E+02 1.75E+01   11   0  1.73E-05 6.08E+00 3.19E+00
  21 3.51E-01 5.49E+02 2.36E+15 1.25E+02 1.76E+01   10   0  1.80E-05 5.96E+00 3.18E+00
  22 3.74E-01 5.41E+02 2.38E+15 1.26E+02 1.77E+01   10   0  1.87E-05 5.84E+00 3.16E+00
  23 3.98E-01 5.32E+02 2.40E+15 1.26E+02 1.79E+01   10   0  1.95E-05 5.72E+00 3.14E+00
  24 4.24E-01 5.24E+02 2.42E+15 1.27E+02 1.80E+01   10   0  2.03E-05 5.59E+00 3.11E+00
  25 4.51E-01 5.16E+02 2.43E+15 1.28E+02 1.82E+01   10   0  2.11E-05 5.45E+00 3.08E+00
  26 4.80E-01 5.09E+02 2.45E+15 1.29E+02 1.83E+01   10   0  2.20E-05 5.32E+00 3.05E+00
  27 5.11E-01 5.01E+02 2.47E+15 1.30E+02 1.84E+01   10   0  2.28E-05 5.17E+00 3.01E+00
  28 5.45E-01 4.94E+02 2.49E+15 1.31E+02 1.86E+01   10   0  2.38E-05 5.07E+00 2.98E+00
  29 5.80E-01 4.87E+02 2.51E+15 1.32E+02 1.87E+01   10   0  2.48E-05 4.98E+00 2.95E+00
  30 6.17E-01 4.80E+02 2.52E+15 1.33E+02 1.88E+01   10   0  2.59E-05 4.90E+00 2.92E+00
  31 6.57E-01 4.73E+02 2.54E+15 1.34E+02 1.90E+01   10   0  2.71E-05 4.81E+00 2.89E+00
  32 7.00E-01 4.67E+02 2.56E+15 1.35E+02 1.91E+01   10   0  2.82E-05 4.72E+00 2.85E+00
  33 7.45E-01 4.60E+02 2.58E+15 1.36E+02 1.92E+01   10   0  2.95E-05 4.63E+00 2.82E+00
  34 7.94E-01 4.54E+02 2.60E+15 1.37E+02 1.94E+01   10   0  3.07E-05 4.55E+00 2.78E+00
  35 8.45E-01 4.48E+02 2.61E+15 1.38E+02 1.95E+01   10   0  3.20E-05 4.46E+00 2.74E+00
  36 9.00E-01 4.42E+02 2.63E+15 1.39E+02 1.96E+01    9   0 3.34E-05 4.37E+00 2.69E+00
  37 9.58E-01 4.36E+02 2.65E+15 1.40E+02 1.98E+01    9   0 3.48E-05 4.28E+00 2.65E+00
  38 1.02E+00 4.31E+02 2.67E+15 1.41E+02 1.99E+01    9   0 3.63E-05 4.20E+00 2.60E+00
  39 1.09E+00 4.25E+02 2.68E+15 1.42E+02 2.00E+01    9   0 3.78E-05 4.11E+00 2.56E+00
  40 1.16E+00 4.18E+02 2.70E+15 1.43E+02 2.02E+01    9   0 3.94E-05 4.03E+00 2.51E+00
  41 1.23E+00 4.13E+02 2.72E+15 1.44E+02 2.03E+01    9   0 4.11E-05 3.95E+00 2.46E+00
  42 1.31E+00 4.09E+02 2.73E+15 1.44E+02 2.04E+01    9   0 4.24E-05 3.88E+00 2.42E+00
  43 1.40E+00 4.04E+02 2.75E+15 1.45E+02 2.05E+01    9   0 4.42E-05 3.80E+00 2.37E+00
  44 1.49E+00 3.99E+02 2.77E+15 1.46E+02 2.07E+01    9   0 4.61E-05 3.71E+00 2.32E+00
  45 1.58E+00 3.94E+02 2.79E+15 1.47E+02 2.08E+01    9   0 4.80E-05 3.64E+00 2.27E+00
  46 1.69E+00 3.88E+02 2.81E+15 1.48E+02 2.09E+01    9   0 5.03E-05 3.60E+00 2.20E+00
  47 1.80E+00 3.83E+02 2.82E+15 1.49E+02 2.11E+01    9   0 5.25E-05 3.52E+00 2.16E+00
  48 1.91E+00 3.79E+02 2.84E+15 1.50E+02 2.12E+01    9   0 5.47E-05 3.45E+00 2.11E+00
  49 2.04E+00 3.74E+02 2.86E+15 1.51E+02 2.13E+01    9   0 5.70E-05 3.38E+00 2.06E+00
  50 2.17E+00 3.69E+02 2.88E+15 1.52E+02 2.15E+01    9   0 5.95E-05 3.31E+00 2.01E+00
  51 2.31E+00 3.65E+02 2.89E+15 1.53E+02 2.16E+01    9   0 6.20E-05 3.24E+00 1.97E+00
  52 2.46E+00 3.60E+02 2.91E+15 1.54E+02 2.17E+01    8   0 6.47E-05 3.18E+00 1.92E+00
