 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  aringerOkmh_3200_600.inp                                              
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Stellar spectrum supplied from file:
  aringerO_3200_resampled.dat                                           
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  KMH size distribution:
       Power q:  3.5
  Minimal size: 1.00E-02 microns
  Characteristic size: 1.00E+00 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1487 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
  16 2.56E-01 1.30E+04 4.86E+14 2.09E+02 3.62E+00   17   0  4.47E-06 1.06E+01 1.58E+00
  17 2.73E-01 1.28E+04 4.89E+14 2.11E+02 3.65E+00   17   0  4.70E-06 1.06E+01 1.60E+00
  18 2.91E-01 1.26E+04 4.93E+14 2.12E+02 3.68E+00   17   0  4.95E-06 1.06E+01 1.62E+00
  19 3.10E-01 1.24E+04 4.97E+14 2.14E+02 3.71E+00   17   0  5.21E-06 1.05E+01 1.64E+00
  20 3.30E-01 1.21E+04 5.02E+14 2.16E+02 3.74E+00   17   0  5.54E-06 1.05E+01 1.66E+00
  21 3.51E-01 1.19E+04 5.06E+14 2.18E+02 3.77E+00   16   0  5.83E-06 1.05E+01 1.68E+00
  22 3.74E-01 1.18E+04 5.10E+14 2.20E+02 3.81E+00   16   0  6.13E-06 1.05E+01 1.70E+00
  23 3.98E-01 1.16E+04 5.14E+14 2.22E+02 3.84E+00   16   0  6.44E-06 1.04E+01 1.71E+00
  24 4.24E-01 1.14E+04 5.19E+14 2.24E+02 3.87E+00   16   0  6.77E-06 1.03E+01 1.73E+00
  25 4.51E-01 1.12E+04 5.24E+14 2.26E+02 3.91E+00   16   0  7.11E-06 1.02E+01 1.74E+00
  26 4.80E-01 1.10E+04 5.28E+14 2.28E+02 3.94E+00   16   0  7.47E-06 1.02E+01 1.75E+00
  27 5.11E-01 1.08E+04 5.33E+14 2.30E+02 3.98E+00   16   0  7.84E-06 1.01E+01 1.76E+00
  28 5.45E-01 1.06E+04 5.38E+14 2.32E+02 4.01E+00   16   0  8.23E-06 9.96E+00 1.77E+00
  29 5.80E-01 1.04E+04 5.43E+14 2.34E+02 4.05E+00   16   0  8.64E-06 9.85E+00 1.77E+00
  30 6.17E-01 1.02E+04 5.48E+14 2.36E+02 4.09E+00   16   0  9.07E-06 9.73E+00 1.78E+00
  31 6.57E-01 9.99E+03 5.53E+14 2.38E+02 4.13E+00   16   0  9.51E-06 9.60E+00 1.78E+00
  32 7.00E-01 9.80E+03 5.59E+14 2.41E+02 4.17E+00   16   0  9.97E-06 9.46E+00 1.78E+00
  33 7.45E-01 9.61E+03 5.64E+14 2.43E+02 4.21E+00   15   0  1.04E-05 9.32E+00 1.78E+00
  34 7.94E-01 9.43E+03 5.70E+14 2.45E+02 4.25E+00   15   0  1.09E-05 9.17E+00 1.77E+00
  35 8.45E-01 9.24E+03 5.75E+14 2.48E+02 4.29E+00   15   0  1.15E-05 9.02E+00 1.77E+00
  36 9.00E-01 9.07E+03 5.81E+14 2.50E+02 4.33E+00   15   0  1.20E-05 8.86E+00 1.76E+00
  37 9.58E-01 8.89E+03 5.87E+14 2.53E+02 4.38E+00   15   0  1.26E-05 8.69E+00 1.76E+00
  38 1.02E+00 8.72E+03 5.92E+14 2.55E+02 4.42E+00   15   0  1.31E-05 8.52E+00 1.75E+00
  39 1.09E+00 8.55E+03 5.98E+14 2.58E+02 4.46E+00   15   0  1.37E-05 8.35E+00 1.74E+00
  40 1.16E+00 8.38E+03 6.04E+14 2.60E+02 4.51E+00   15   0  1.44E-05 8.18E+00 1.72E+00
  41 1.23E+00 8.21E+03 6.10E+14 2.63E+02 4.55E+00   15   0  1.51E-05 8.03E+00 1.71E+00
  42 1.31E+00 8.05E+03 6.16E+14 2.66E+02 4.60E+00   15   0  1.58E-05 7.94E+00 1.71E+00
  43 1.40E+00 7.89E+03 6.23E+14 2.68E+02 4.65E+00   15   0  1.66E-05 7.84E+00 1.70E+00
  44 1.49E+00 7.73E+03 6.29E+14 2.71E+02 4.69E+00   15   0  1.75E-05 7.75E+00 1.69E+00
  45 1.58E+00 7.57E+03 6.36E+14 2.74E+02 4.74E+00   14   0  1.84E-05 7.66E+00 1.69E+00
  46 1.69E+00 7.41E+03 6.42E+14 2.77E+02 4.79E+00   14   0  1.94E-05 7.57E+00 1.68E+00
  47 1.80E+00 7.26E+03 6.49E+14 2.80E+02 4.84E+00   14   0  2.04E-05 7.49E+00 1.67E+00
  48 1.91E+00 7.10E+03 6.56E+14 2.83E+02 4.89E+00   14   0  2.14E-05 7.40E+00 1.66E+00
  49 2.04E+00 6.95E+03 6.63E+14 2.86E+02 4.95E+00   14   0  2.26E-05 7.32E+00 1.65E+00
  50 2.17E+00 6.80E+03 6.70E+14 2.89E+02 5.00E+00   14   0  2.37E-05 7.24E+00 1.64E+00
  51 2.31E+00 6.66E+03 6.78E+14 2.92E+02 5.06E+00   14   0  2.50E-05 7.16E+00 1.63E+00
  52 2.46E+00 6.51E+03 6.85E+14 2.95E+02 5.11E+00   14   0  2.63E-05 7.09E+00 1.62E+00
  53 2.62E+00 6.36E+03 6.93E+14 2.99E+02 5.17E+00   14   0  2.77E-05 7.01E+00 1.61E+00
  54 2.79E+00 6.22E+03 7.01E+14 3.02E+02 5.23E+00   14   0  2.92E-05 6.94E+00 1.60E+00
  55 2.97E+00 6.07E+03 7.10E+14 3.06E+02 5.29E+00   14   0  3.08E-05 6.87E+00 1.59E+00
  56 3.16E+00 5.93E+03 7.18E+14 3.09E+02 5.36E+00   14   0  3.24E-05 6.80E+00 1.58E+00
  57 3.36E+00 5.79E+03 7.27E+14 3.13E+02 5.42E+00   14   0  3.42E-05 6.73E+00 1.57E+00
  58 3.58E+00 5.64E+03 7.36E+14 3.17E+02 5.49E+00   13   0  3.61E-05 6.66E+00 1.56E+00
  59 3.81E+00 5.55E+03 7.42E+14 3.20E+02 5.54E+00   13   0  3.76E-05 6.62E+00 1.56E+00
  60 4.06E+00 5.40E+03 7.52E+14 3.24E+02 5.61E+00   13   0  3.97E-05 6.55E+00 1.55E+00
  61 4.32E+00 5.26E+03 7.62E+14 3.28E+02 5.69E+00   13   0  4.19E-05 6.48E+00 1.54E+00
  62 4.60E+00 5.12E+03 7.73E+14 3.33E+02 5.76E+00   13   0  4.43E-05 6.41E+00 1.53E+00
  63 4.90E+00 4.96E+03 7.86E+14 3.38E+02 5.86E+00   13   0  4.72E-05 6.38E+00 1.52E+00
  64 5.22E+00 4.82E+03 7.97E+14 3.43E+02 5.94E+00   13   0  5.00E-05 6.31E+00 1.51E+00
  65 5.56E+00 4.68E+03 8.08E+14 3.48E+02 6.03E+00   13   0  5.29E-05 6.25E+00 1.50E+00
  66 5.92E+00 4.55E+03 8.20E+14 3.53E+02 6.12E+00   13   0  5.60E-05 6.19E+00 1.49E+00
  67 6.30E+00 4.41E+03 8.33E+14 3.59E+02 6.21E+00   13   0  5.93E-05 6.13E+00 1.49E+00
  68 6.71E+00 4.28E+03 8.46E+14 3.64E+02 6.31E+00   13   0  6.28E-05 6.06E+00 1.48E+00
  69 7.14E+00 4.15E+03 8.59E+14 3.70E+02 6.41E+00   13   0  6.65E-05 6.00E+00 1.47E+00
  70 7.61E+00 4.01E+03 8.73E+14 3.76E+02 6.51E+00   12   0  7.06E-05 5.94E+00 1.47E+00
  71 8.10E+00 3.92E+03 8.83E+14 3.80E+02 6.59E+00   12   0  7.38E-05 5.89E+00 1.46E+00
  72 8.62E+00 3.79E+03 8.98E+14 3.87E+02 6.70E+00   12   0  7.83E-05 5.83E+00 1.46E+00
  73 9.18E+00 3.66E+03 9.14E+14 3.94E+02 6.82E+00   12   0  8.32E-05 5.76E+00 1.45E+00
  74 9.78E+00 3.54E+03 9.30E+14 4.01E+02 6.94E+00   12   0  8.84E-05 5.70E+00 1.45E+00
  75 1.04E+01 3.41E+03 9.47E+14 4.08E+02 7.07E+00   12   0  9.41E-05 5.63E+00 1.44E+00
  76 1.11E+01 3.26E+03 9.69E+14 4.17E+02 7.23E+00   12   0  1.01E-04 5.59E+00 1.43E+00
  77 1.18E+01 3.14E+03 9.87E+14 4.25E+02 7.37E+00   12   0  1.08E-04 5.52E+00 1.43E+00
  78 1.26E+01 3.00E+03 1.01E+15 4.35E+02 7.53E+00   12   0  1.15E-04 5.52E+00 1.42E+00
  79 1.34E+01 2.89E+03 1.03E+15 4.43E+02 7.68E+00   11   0  1.23E-04 5.46E+00 1.42E+00
  80 1.42E+01 2.77E+03 1.05E+15 4.52E+02 7.84E+00   11   0  1.31E-04 5.39E+00 1.41E+00
  81 1.52E+01 2.66E+03 1.07E+15 4.62E+02 8.00E+00   11   0  1.39E-04 5.32E+00 1.41E+00
  82 1.62E+01 2.55E+03 1.10E+15 4.72E+02 8.17E+00   11   0  1.49E-04 5.25E+00 1.41E+00
  83 1.72E+01 2.44E+03 1.12E+15 4.82E+02 8.35E+00   11   1  1.59E-04 5.18E+00 1.40E+00
  84 1.83E+01 2.34E+03 1.14E+15 4.93E+02 8.54E+00   11   1  1.69E-04 5.11E+00 1.40E+00
  85 1.95E+01 2.23E+03 1.17E+15 5.04E+02 8.73E+00   11   1  1.81E-04 5.04E+00 1.40E+00
  86 2.08E+01 2.13E+03 1.20E+15 5.16E+02 8.93E+00   11   1  1.94E-04 4.97E+00 1.40E+00
  87 2.21E+01 2.06E+03 1.22E+15 5.24E+02 9.08E+00   11   1  2.04E-04 4.89E+00 1.39E+00
  88 2.35E+01 1.97E+03 1.25E+15 5.37E+02 9.30E+00   10   1  2.18E-04 4.82E+00 1.39E+00
  89 2.51E+01 1.87E+03 1.28E+15 5.50E+02 9.53E+00   10   2  2.34E-04 4.74E+00 1.39E+00
  90 2.67E+01 1.78E+03 1.31E+15 5.64E+02 9.77E+00   10   2  2.50E-04 4.67E+00 1.39E+00
  91 2.84E+01 1.70E+03 1.34E+15 5.78E+02 1.00E+01   10   2  2.68E-04 4.59E+00 1.39E+00
  92 3.03E+01 1.61E+03 1.38E+15 5.93E+02 1.03E+01   10   2  2.88E-04 4.52E+00 1.38E+00
  93 3.22E+01 1.53E+03 1.41E+15 6.08E+02 1.05E+01   10   2  3.09E-04 4.44E+00 1.38E+00
  94 3.43E+01 1.46E+03 1.45E+15 6.24E+02 1.08E+01   10   2  3.31E-04 4.36E+00 1.38E+00
  95 3.65E+01 1.38E+03 1.49E+15 6.41E+02 1.11E+01    9   2 3.56E-04 4.29E+00 1.38E+00
  96 3.89E+01 1.31E+03 1.53E+15 6.58E+02 1.14E+01    9   2 3.82E-04 4.21E+00 1.38E+00
  97 4.14E+01 1.24E+03 1.57E+15 6.76E+02 1.17E+01    9   2 4.11E-04 4.14E+00 1.37E+00
  98 4.41E+01 1.17E+03 1.61E+15 6.95E+02 1.20E+01    9   2 4.41E-04 4.07E+00 1.37E+00
  99 4.70E+01 1.11E+03 1.66E+15 7.14E+02 1.24E+01    9   2 4.75E-04 3.99E+00 1.37E+00
 100 5.00E+01 1.05E+03 1.71E+15 7.35E+02 1.27E+01    9   2 5.10E-04 3.92E+00 1.37E+00
 ======================================================================================
   (1) Optical depth at 1.0E+01 microns
   (2) Bolometric flux at the inner radius 
   (3) Inner radius for L=1E4 Lsun
   (4) Ratio of the inner to the stellar radius
   (5) Angular size (in arcsec) when Fbol=1E-6 W/m2
   (6) Dust temperature at the outer edge (in K)
   (7) Maximum error in flux conservation (%)
   (8) Mass-loss rate (in Msun/yr)
   (9) Terminal outflow velocity (in km/s)
   (10) Upper limit of the stellar mass (in Msun)
 =================================================
  Everything is OK for all models
  Spectra are in files *.s##
 ========== THE END ==============================
