 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  aringerOkmh_2600_600.inp                                              
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Stellar spectrum supplied from file:
  aringerO_2600_resampled.dat                                           
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  KMH size distribution:
       Power q:  3.5
  Minimal size: 1.00E-02 microns
  Characteristic size: 1.00E+00 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1502 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
   1 1.00E-01 1.59E+04 4.39E+14 1.89E+02 3.27E+00   17   0  1.95E-06 9.52E+00 1.06E+00
   2 1.06E-01 1.58E+04 4.40E+14 1.90E+02 3.29E+00   17   0  2.05E-06 9.59E+00 1.08E+00
   3 1.13E-01 1.56E+04 4.42E+14 1.90E+02 3.30E+00   17   0  2.15E-06 9.65E+00 1.11E+00
   4 1.21E-01 1.55E+04 4.44E+14 1.91E+02 3.31E+00   17   0  2.27E-06 9.71E+00 1.13E+00
   5 1.29E-01 1.54E+04 4.46E+14 1.92E+02 3.33E+00   17   0  2.38E-06 9.77E+00 1.15E+00
   6 1.37E-01 1.52E+04 4.48E+14 1.93E+02 3.34E+00   17   0  2.51E-06 9.82E+00 1.18E+00
   7 1.46E-01 1.51E+04 4.50E+14 1.94E+02 3.36E+00   17   0  2.64E-06 9.87E+00 1.20E+00
   8 1.55E-01 1.50E+04 4.52E+14 1.95E+02 3.37E+00   17   0  2.77E-06 9.91E+00 1.22E+00
   9 1.65E-01 1.48E+04 4.54E+14 1.96E+02 3.39E+00   17   0  2.92E-06 9.95E+00 1.25E+00
  10 1.76E-01 1.47E+04 4.57E+14 1.97E+02 3.41E+00   17   0  3.07E-06 9.98E+00 1.27E+00
  11 1.87E-01 1.45E+04 4.59E+14 1.98E+02 3.43E+00   17   0  3.23E-06 1.00E+01 1.29E+00
  12 1.99E-01 1.43E+04 4.62E+14 1.99E+02 3.45E+00   17   0  3.40E-06 1.00E+01 1.32E+00
  13 2.12E-01 1.42E+04 4.65E+14 2.00E+02 3.47E+00   17   0  3.57E-06 1.01E+01 1.34E+00
  14 2.26E-01 1.40E+04 4.67E+14 2.01E+02 3.49E+00   17   0  3.76E-06 1.01E+01 1.36E+00
  15 2.41E-01 1.38E+04 4.70E+14 2.03E+02 3.51E+00   17   0  3.95E-06 1.01E+01 1.38E+00
  16 2.56E-01 1.36E+04 4.74E+14 2.04E+02 3.53E+00   17   0  4.16E-06 1.01E+01 1.40E+00
  17 2.73E-01 1.35E+04 4.77E+14 2.05E+02 3.56E+00   17   0  4.37E-06 1.01E+01 1.42E+00
  18 2.91E-01 1.33E+04 4.80E+14 2.07E+02 3.58E+00   17   0  4.60E-06 1.00E+01 1.44E+00
  19 3.10E-01 1.31E+04 4.83E+14 2.08E+02 3.61E+00   17   0  4.84E-06 1.00E+01 1.46E+00
  20 3.30E-01 1.28E+04 4.88E+14 2.10E+02 3.64E+00   17   0  5.15E-06 1.00E+01 1.48E+00
  21 3.51E-01 1.26E+04 4.92E+14 2.12E+02 3.67E+00   16   0  5.41E-06 1.00E+01 1.49E+00
  22 3.74E-01 1.24E+04 4.96E+14 2.14E+02 3.70E+00   16   0  5.69E-06 9.96E+00 1.51E+00
  23 3.98E-01 1.23E+04 5.00E+14 2.15E+02 3.73E+00   16   0  5.98E-06 9.91E+00 1.52E+00
  24 4.24E-01 1.21E+04 5.04E+14 2.17E+02 3.76E+00   16   0  6.28E-06 9.85E+00 1.53E+00
  25 4.51E-01 1.19E+04 5.08E+14 2.19E+02 3.79E+00   16   0  6.60E-06 9.78E+00 1.54E+00
  26 4.80E-01 1.17E+04 5.12E+14 2.21E+02 3.82E+00   16   0  6.93E-06 9.71E+00 1.56E+00
  27 5.11E-01 1.15E+04 5.16E+14 2.22E+02 3.85E+00   16   0  7.27E-06 9.63E+00 1.56E+00
  28 5.45E-01 1.13E+04 5.21E+14 2.24E+02 3.89E+00   16   0  7.63E-06 9.54E+00 1.57E+00
  29 5.80E-01 1.11E+04 5.25E+14 2.26E+02 3.92E+00   16   0  8.01E-06 9.44E+00 1.58E+00
  30 6.17E-01 1.09E+04 5.30E+14 2.28E+02 3.95E+00   16   0  8.40E-06 9.33E+00 1.58E+00
  31 6.57E-01 1.07E+04 5.35E+14 2.30E+02 3.99E+00   16   0  8.82E-06 9.22E+00 1.58E+00
  32 7.00E-01 1.05E+04 5.40E+14 2.32E+02 4.03E+00   16   0  9.24E-06 9.10E+00 1.59E+00
  33 7.45E-01 1.03E+04 5.45E+14 2.35E+02 4.06E+00   16   0  9.69E-06 8.98E+00 1.59E+00
  34 7.94E-01 1.01E+04 5.50E+14 2.37E+02 4.10E+00   15   0  1.02E-05 8.85E+00 1.59E+00
  35 8.45E-01 9.94E+03 5.55E+14 2.39E+02 4.14E+00   15   0  1.06E-05 8.71E+00 1.58E+00
  36 9.00E-01 9.75E+03 5.60E+14 2.41E+02 4.18E+00   15   0  1.11E-05 8.57E+00 1.58E+00
  37 9.58E-01 9.57E+03 5.65E+14 2.43E+02 4.22E+00   15   0  1.17E-05 8.43E+00 1.57E+00
  38 1.02E+00 9.39E+03 5.71E+14 2.46E+02 4.26E+00   15   0  1.22E-05 8.28E+00 1.57E+00
  39 1.09E+00 9.22E+03 5.76E+14 2.48E+02 4.30E+00   15   0  1.28E-05 8.13E+00 1.56E+00
  40 1.16E+00 9.04E+03 5.82E+14 2.51E+02 4.34E+00   15   0  1.34E-05 7.98E+00 1.55E+00
  41 1.23E+00 8.87E+03 5.87E+14 2.53E+02 4.38E+00   15   0  1.40E-05 7.84E+00 1.55E+00
  42 1.31E+00 8.69E+03 5.93E+14 2.56E+02 4.43E+00   15   0  1.47E-05 7.76E+00 1.54E+00
  43 1.40E+00 8.52E+03 5.99E+14 2.58E+02 4.47E+00   15   0  1.55E-05 7.68E+00 1.54E+00
  44 1.49E+00 8.35E+03 6.05E+14 2.61E+02 4.51E+00   15   0  1.63E-05 7.60E+00 1.54E+00
  45 1.58E+00 8.18E+03 6.11E+14 2.63E+02 4.56E+00   15   0  1.72E-05 7.53E+00 1.53E+00
  46 1.69E+00 8.02E+03 6.18E+14 2.66E+02 4.61E+00   15   0  1.81E-05 7.45E+00 1.53E+00
  47 1.80E+00 7.85E+03 6.24E+14 2.69E+02 4.66E+00   14   0  1.90E-05 7.38E+00 1.52E+00
  48 1.91E+00 7.69E+03 6.31E+14 2.72E+02 4.71E+00   14   0  2.00E-05 7.31E+00 1.52E+00
  49 2.04E+00 7.53E+03 6.37E+14 2.75E+02 4.76E+00   14   0  2.11E-05 7.24E+00 1.51E+00
  50 2.17E+00 7.36E+03 6.44E+14 2.78E+02 4.81E+00   14   0  2.22E-05 7.17E+00 1.51E+00
  51 2.31E+00 7.20E+03 6.52E+14 2.81E+02 4.86E+00   14   0  2.34E-05 7.10E+00 1.50E+00
  52 2.46E+00 7.04E+03 6.59E+14 2.84E+02 4.92E+00   14   0  2.47E-05 7.04E+00 1.49E+00
  53 2.62E+00 6.88E+03 6.67E+14 2.87E+02 4.97E+00   14   0  2.60E-05 6.98E+00 1.49E+00
  54 2.79E+00 6.72E+03 6.74E+14 2.91E+02 5.03E+00   14   0  2.74E-05 6.92E+00 1.48E+00
  55 2.97E+00 6.57E+03 6.82E+14 2.94E+02 5.09E+00   14   0  2.89E-05 6.86E+00 1.48E+00
  56 3.16E+00 6.41E+03 6.91E+14 2.98E+02 5.15E+00   14   0  3.05E-05 6.80E+00 1.47E+00
  57 3.36E+00 6.25E+03 6.99E+14 3.01E+02 5.22E+00   14   0  3.22E-05 6.74E+00 1.47E+00
  58 3.58E+00 6.09E+03 7.08E+14 3.05E+02 5.29E+00   14   0  3.40E-05 6.67E+00 1.46E+00
  59 3.81E+00 5.99E+03 7.15E+14 3.08E+02 5.33E+00   14   0  3.55E-05 6.64E+00 1.46E+00
  60 4.06E+00 5.83E+03 7.24E+14 3.12E+02 5.40E+00   13   0  3.75E-05 6.58E+00 1.45E+00
  61 4.32E+00 5.67E+03 7.34E+14 3.16E+02 5.48E+00   13   0  3.97E-05 6.52E+00 1.45E+00
  62 4.60E+00 5.52E+03 7.44E+14 3.21E+02 5.55E+00   13   0  4.20E-05 6.46E+00 1.44E+00
  63 4.90E+00 5.33E+03 7.57E+14 3.26E+02 5.65E+00   13   0  4.48E-05 6.42E+00 1.43E+00
  64 5.22E+00 5.18E+03 7.68E+14 3.31E+02 5.73E+00   13   0  4.75E-05 6.36E+00 1.43E+00
  65 5.56E+00 5.03E+03 7.80E+14 3.36E+02 5.82E+00   13   0  5.03E-05 6.30E+00 1.42E+00
  66 5.92E+00 4.88E+03 7.92E+14 3.41E+02 5.91E+00   13   0  5.33E-05 6.24E+00 1.42E+00
  67 6.30E+00 4.73E+03 8.04E+14 3.47E+02 6.00E+00   13   0  5.65E-05 6.19E+00 1.42E+00
  68 6.71E+00 4.58E+03 8.17E+14 3.52E+02 6.10E+00   13   0  5.99E-05 6.13E+00 1.41E+00
  69 7.14E+00 4.43E+03 8.31E+14 3.58E+02 6.20E+00   13   0  6.36E-05 6.07E+00 1.41E+00
  70 7.61E+00 4.28E+03 8.45E+14 3.64E+02 6.30E+00   13   0  6.75E-05 6.01E+00 1.41E+00
  71 8.10E+00 4.18E+03 8.55E+14 3.68E+02 6.38E+00   12   0  7.07E-05 5.96E+00 1.40E+00
  72 8.62E+00 4.04E+03 8.70E+14 3.75E+02 6.49E+00   12   0  7.51E-05 5.90E+00 1.40E+00
  73 9.18E+00 3.90E+03 8.86E+14 3.82E+02 6.61E+00   12   0  7.99E-05 5.83E+00 1.40E+00
  74 9.78E+00 3.75E+03 9.02E+14 3.89E+02 6.73E+00   12   0  8.50E-05 5.77E+00 1.40E+00
  75 1.04E+01 3.62E+03 9.20E+14 3.96E+02 6.86E+00   12   0  9.05E-05 5.71E+00 1.39E+00
  76 1.11E+01 3.45E+03 9.41E+14 4.06E+02 7.02E+00   12   0  9.74E-05 5.66E+00 1.39E+00
  77 1.18E+01 3.32E+03 9.60E+14 4.14E+02 7.16E+00   12   0  1.04E-04 5.59E+00 1.39E+00
  78 1.26E+01 3.17E+03 9.82E+14 4.23E+02 7.33E+00   12   0  1.11E-04 5.59E+00 1.38E+00
  79 1.34E+01 3.04E+03 1.00E+15 4.32E+02 7.48E+00   12   0  1.19E-04 5.52E+00 1.38E+00
  80 1.42E+01 2.92E+03 1.02E+15 4.41E+02 7.64E+00   11   0  1.27E-04 5.45E+00 1.38E+00
  81 1.52E+01 2.79E+03 1.05E+15 4.51E+02 7.81E+00   11   0  1.35E-04 5.38E+00 1.38E+00
  82 1.62E+01 2.67E+03 1.07E+15 4.61E+02 7.98E+00   11   0  1.44E-04 5.31E+00 1.37E+00
  83 1.72E+01 2.55E+03 1.09E+15 4.71E+02 8.16E+00   11   1  1.54E-04 5.24E+00 1.37E+00
  84 1.83E+01 2.44E+03 1.12E+15 4.82E+02 8.35E+00   11   1  1.65E-04 5.17E+00 1.37E+00
  85 1.95E+01 2.33E+03 1.15E+15 4.94E+02 8.55E+00   11   1  1.77E-04 5.10E+00 1.37E+00
  86 2.08E+01 2.22E+03 1.17E+15 5.06E+02 8.76E+00   11   1  1.89E-04 5.02E+00 1.37E+00
  87 2.21E+01 2.15E+03 1.19E+15 5.14E+02 8.91E+00   11   1  1.99E-04 4.94E+00 1.37E+00
