 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  aringerOkmh_3400_600.inp                                              
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Stellar spectrum supplied from file:
  aringerO_3400_resampled.dat                                           
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  KMH size distribution:
       Power q:  3.5
  Minimal size: 1.00E-02 microns
  Characteristic size: 1.00E+00 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1459 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
   1 1.00E-01 1.39E+04 4.69E+14 2.02E+02 3.50E+00   17   0  2.24E-06 1.02E+01 1.31E+00
   2 1.06E-01 1.38E+04 4.71E+14 2.03E+02 3.51E+00   17   0  2.36E-06 1.03E+01 1.34E+00
   3 1.13E-01 1.37E+04 4.73E+14 2.04E+02 3.53E+00   17   0  2.48E-06 1.04E+01 1.37E+00
   4 1.21E-01 1.36E+04 4.75E+14 2.05E+02 3.54E+00   17   0  2.61E-06 1.04E+01 1.40E+00
   5 1.29E-01 1.34E+04 4.77E+14 2.06E+02 3.56E+00   17   0  2.74E-06 1.05E+01 1.43E+00
   6 1.37E-01 1.33E+04 4.80E+14 2.07E+02 3.58E+00   17   0  2.89E-06 1.05E+01 1.46E+00
   7 1.46E-01 1.31E+04 4.82E+14 2.08E+02 3.60E+00   17   0  3.04E-06 1.06E+01 1.49E+00
   8 1.55E-01 1.30E+04 4.85E+14 2.09E+02 3.62E+00   17   0  3.20E-06 1.06E+01 1.51E+00
   9 1.65E-01 1.29E+04 4.88E+14 2.10E+02 3.64E+00   17   0  3.36E-06 1.07E+01 1.54E+00
  10 1.76E-01 1.27E+04 4.91E+14 2.11E+02 3.66E+00   17   0  3.54E-06 1.07E+01 1.57E+00
  11 1.87E-01 1.25E+04 4.94E+14 2.13E+02 3.68E+00   17   0  3.72E-06 1.07E+01 1.60E+00
  12 1.99E-01 1.24E+04 4.97E+14 2.14E+02 3.71E+00   17   0  3.92E-06 1.07E+01 1.62E+00
  13 2.12E-01 1.22E+04 5.00E+14 2.15E+02 3.73E+00   17   0  4.12E-06 1.07E+01 1.65E+00
  14 2.26E-01 1.21E+04 5.04E+14 2.17E+02 3.76E+00   17   0  4.33E-06 1.07E+01 1.68E+00
  15 2.41E-01 1.19E+04 5.07E+14 2.19E+02 3.78E+00   17   0  4.56E-06 1.07E+01 1.70E+00
  16 2.56E-01 1.17E+04 5.11E+14 2.20E+02 3.81E+00   17   0  4.80E-06 1.07E+01 1.72E+00
  17 2.73E-01 1.15E+04 5.15E+14 2.22E+02 3.84E+00   17   0  5.04E-06 1.07E+01 1.75E+00
  18 2.91E-01 1.14E+04 5.19E+14 2.24E+02 3.87E+00   17   0  5.30E-06 1.07E+01 1.77E+00
  19 3.10E-01 1.12E+04 5.23E+14 2.25E+02 3.90E+00   16   0  5.58E-06 1.06E+01 1.79E+00
  20 3.30E-01 1.09E+04 5.29E+14 2.28E+02 3.94E+00   16   0  5.93E-06 1.06E+01 1.81E+00
  21 3.51E-01 1.08E+04 5.33E+14 2.30E+02 3.98E+00   16   0  6.23E-06 1.06E+01 1.83E+00
  22 3.74E-01 1.06E+04 5.38E+14 2.32E+02 4.01E+00   16   0  6.54E-06 1.05E+01 1.84E+00
  23 3.98E-01 1.04E+04 5.42E+14 2.34E+02 4.05E+00   16   0  6.87E-06 1.04E+01 1.85E+00
  24 4.24E-01 1.02E+04 5.47E+14 2.36E+02 4.08E+00   16   0  7.22E-06 1.03E+01 1.86E+00
  25 4.51E-01 1.00E+04 5.52E+14 2.38E+02 4.12E+00   16   0  7.57E-06 1.02E+01 1.87E+00
  26 4.80E-01 9.86E+03 5.57E+14 2.40E+02 4.16E+00   16   0  7.95E-06 1.01E+01 1.88E+00
  27 5.11E-01 9.68E+03 5.62E+14 2.42E+02 4.19E+00   16   0  8.33E-06 1.00E+01 1.89E+00
  28 5.45E-01 9.51E+03 5.67E+14 2.44E+02 4.23E+00   16   0  8.74E-06 9.88E+00 1.89E+00
