WAVE,FLUX,ERR,ERRSYS
5.2474899292,0.040667377,0.0039107893,0.0054569654
5.2777299881,0.042843655,0.0040294346,0.0065936707
5.307970047,0.040962815,0.003915412,0.0065936707
5.3382101059,0.038496867,0.0037517678,0.0057975426
5.3684601784,0.040044937,0.003908406,0.0054569654
5.3987002373,0.039584693,0.004023075,0.0048567057
5.4289398193,0.039827783,0.0040085516,0.0034505986
5.4591798782,0.038057745,0.0038079605,0.0031405427
5.4894199371,0.041006282,0.0035596762,0
5.5196700096,0.038403004,0.0032739986,0
5.5499100685,0.03810738,0.0035015766,0
5.5801501274,0.036065284,0.0035043792,0.0008159652
5.6103901863,0.037151664,0.0034329954,0.0008159652
5.6406297684,0.03690671,0.003334453,0
5.6708798409,0.037851587,0.0031171837,0
5.7011198997,0.037791677,0.0029898183,0
5.7313599586,0.036457743,0.0030700709,0
5.7616000175,0.03629873,0.0033387276,0
5.7918400764,0.03797725,0.003536262,0
5.8220901489,0.034208033,0.0036434561,0
5.8523302078,0.03750356,0.0037759726,0
5.8825697899,0.036460705,0.0039287335,0.0024821877
5.9128098488,0.0384865,0.0040565254,0.0009475006
5.9430499077,0.036911894,0.0041531064,0
5.9732999802,0.036260143,0.003363508,0
6.0035400391,0.03538298,0.0042758025,0.0020583784
6.033780098,0.03682206,0.004133921,0.0016188363
6.0640201569,0.036629464,0.003919069,0
6.0942602158,0.039988592,0.004634018,0
6.1245098114,0.03491161,0.003699821,0.0011721872
6.1547498703,0.037520982,0.0037276738,0.0027143937
6.1849899292,0.03825986,0.0037551685,0.002292373
6.2152299881,0.038121782,0.0037054063,0.0021580942
6.245470047,0.039171908,0.0036664484,0.0033500728
6.2757201195,0.038732715,0.0037849175,0.0038140998
6.3059601784,0.044624247,0.004037552,0.0017189378
6.3362002373,0.043362487,0.0043388465,0.011033462
6.3664398193,0.043285027,0.0045517385,0.011262178
6.3966798782,0.047379334,0.0047518215,0.011294329
6.4269299507,0.04757301,0.0046243584,0.01242486
6.4571700096,0.044223487,0.004462678,0.01242486
6.4874100685,0.049129948,0.0044540875,0.009427391
6.5176501274,0.048937842,0.004467124,0.009427391
6.5478901863,0.055903994,0.0045359405,0.01242486
6.578139782,0.07996732,0.0047680065,0.011036551
6.6083798409,0.06391044,0.0045147794,0.0016796011
6.6386198997,0.030756706,0.004522167,0.011036551
6.6688599586,0.021437213,0.0043932926,0.008519709
6.6991000175,0.024603076,0.004396411,0.0077470094
6.72935009,0.02626615,0.004462173,0.00646911
6.7595901489,0.025082977,0.005021833,0.0044072717
6.7898302078,0.026182748,0.0053101364,0
6.8200697899,0.023561167,0.0055222744,0.0036887825
6.8503098488,0.029236637,0.005778286,0.0039824825
6.8805599213,0.02719611,0.005581631,0
6.9107999802,0.028769251,0.005522681,0.0039824825
6.9410400391,0.027010608,0.0056652348,0
6.971280098,0.028677877,0.005475956,0.003972332
7.0015201569,0.03224879,0.0054528946,0.004132155
7.0317702293,0.033111922,0.0060043684,0.0020182554
7.0620098114,0.029512323,0.0053958497,0
7.0922498703,0.029358353,0.0052041807,0
7.1224899292,0.030360786,0.0051771537,0
7.1527299881,0.03200572,0.004918335,0
7.1829800606,0.032219652,0.005041111,0
7.2132201195,0.03660157,0.0056428188,0
7.2434601784,0.03151123,0.005958411,0
7.2737002373,0.03544855,0.0063478253,0
7.3039398193,0.035283595,0.006623603,0
7.3341898918,0.032047417,0.0065920525,0
7.3644299507,0.03355242,0.006492828,0
7.3946700096,0.035324458,0.006643634,0
7.4249100685,0.030404555,0.006700462,0.0036487028
7.4551501274,0.037180644,0.00668596,0.010346277
7.4854001999,0.04206465,0.006900739,0.010685291
7.5761198997,0.038275924,0.004364666,0.012910534
7.6366000175,0.037859406,0.0044528767,0.0035697026
7.6970901489,0.033165965,0.003922625,0.00917005
7.7575697899,0.03515512,0.003737094,0.012177629
7.8180499077,0.039880022,0.0038112733,0.004422315
7.8785400391,0.030714119,0.0037062496,0
7.9390201569,0.032363784,0.0036825845,0
7.9995098114,0.035832122,0.0035567693,0
8.0599899292,0.0356933,0.0033837168,0
8.120470047,0.03851537,0.003238507,0
8.1809597015,0.03626131,0.0031371135,0.0025059255
8.2414398193,0.03281148,0.0029968857,0.0027690344
8.3019199371,0.032769803,0.0028819186,0
8.3624095917,0.03322536,0.00282654,0
8.4228897095,0.028356256,0.0026164022,0
8.4833698273,0.026887326,0.0024269233,0
8.5438604355,0.02609553,0.00238989,0.0012563644
8.6043395996,0.029579919,0.0024009615,0.0060311095
8.6648302078,0.025089655,0.002289572,0
8.7253103256,0.022568002,0.0021785817,0.0006727809
8.7857904434,0.028332347,0.0020971727,0.009523338
8.846280098,0.020046331,0.0020459488,0
8.9067602158,0.024756337,0.002130259,0.009638311
8.9672403336,0.021980552,0.0021921168,0.009638311
9.0277299881,0.021489335,0.0022893925,0.008885577
9.0882101059,0.019584363,0.0023044478,0.008695246
9.1486902237,0.02237556,0.002639996,0
9.2091798782,0.018478176,0.0024038944,0.008400026
9.269659996,0.017424174,0.0024869791,0.008400026
9.3301496506,0.018164279,0.0025207303,0.008400026
9.3906297684,0.017108586,0.0025932726,0.0077010794
9.4511098862,0.020465273,0.0026575455,0
9.5115995407,0.020322135,0.0026834465,0.0071412204
9.5720796585,0.01650965,0.0024438398,0.002246486
9.6325597763,0.019953301,0.0024156375,0
9.6930503845,0.01647217,0.002311767,0
9.7535295486,0.019102972,0.002405565,0.0046653408
9.8140096664,0.019273851,0.0023484589,0.0009426638
9.8745002747,0.018467227,0.0023491243,0
9.9349803925,0.016951865,0.002284301,0.0038468337
9.995470047,0.017583882,0.0022435489,0.0053827567
10.0559501648,0.019684425,0.0023014196,0.0017640251
10.1164302826,0.018804437,0.0022199592,0
10.1769199371,0.022288699,0.0022982673,0
10.2374000549,0.018308729,0.002268938,0.0034565236
10.2978801727,0.020496663,0.0023116204,0.00285066
10.3583698273,0.01873321,0.0023800558,0.002774278
10.4188499451,0.020918354,0.0024196797,0.003040635
10.4793300629,0.019128915,0.002470957,0
10.5398197174,0.020424128,0.0025612067,0.0017258894
10.6002998352,0.021592882,0.0025673497,0.0029313192
10.6607904434,0.020999007,0.002632266,0.0015088602
10.7212696075,0.022280637,0.0025416303,0.00391937
10.7817497253,0.020534597,0.0026734234,0
10.8422403336,0.020733073,0.002730271,0.0005530454
10.9027204514,0.021851622,0.00279389,0.002443653
10.9631996155,0.02362803,0.0028917193,1.1788717E-005
11.0236902237,0.024337731,0.0029418047,8.731554E-005
11.0841703415,0.023822138,0.0029340645,0.000043143
11.1446504593,0.023741258,0.0029993579,0.0008022962
11.2051401138,0.027739398,0.0031481525,0
11.2656202316,0.026201852,0.003220898,0.0025256071
11.3261098862,0.027544444,0.0031286543,0.0033386704
11.386590004,0.027080739,0.0030941858,0
11.4470701218,0.03144678,0.0031827728,0.003496047
11.5075597763,0.032161687,0.0031955482,0.0037598163
11.5680398941,0.03299627,0.0032994263,0.0056844167
11.6285200119,0.03373755,0.0032931431,0.0059523787
11.6890096664,0.03665674,0.0033680238,0.007237565
11.7494897842,0.033174645,0.0033152439,0
11.809969902,0.034153655,0.0033674256,0
