WAVE,FLUX,ERR,ERRSYS
5.2474899292,0.9710331,0.028807193,0
5.2777299881,0.9870108,0.029279586,0.012935042
5.307970047,0.9832693,0.02683153,0.0013801679
5.3382101059,1.0033836,0.025704147,0.0060510635
5.3684601784,1.0036148,0.024902252,0.0009356961
5.3987002373,1.0260395,0.02532175,0
5.4289398193,1.0134472,0.024299635,0.0060510635
5.4591798782,1.0366027,0.02335474,0
5.4894199371,1.0471903,0.022352615,0
5.5196700096,1.0565292,0.021816034,0.00579679
5.5499100685,1.0463675,0.02158827,0
5.5801501274,1.0622382,0.021786721,0
5.6103901863,1.0683272,0.02180994,0
5.6406297684,1.0808849,0.02178402,0
5.6708798409,1.106067,0.02152128,0.0003194982
5.7011198997,1.1119924,0.021731148,0.012057066
5.7313599586,1.1149769,0.022348372,0.0004527019
5.7616000175,1.136985,0.023636146,0
5.7918400764,1.1724286,0.024989713,0
5.8220901489,1.1791742,0.025947835,0
5.8523302078,1.1859237,0.026932348,0
5.8825697899,1.1815814,0.027397033,0
5.9128098488,1.1960436,0.028296571,0
5.9430499077,1.2175235,0.02912661,0.011427909
5.9732999802,1.2100918,0.029121602,0.006294396
6.0035400391,1.2624354,0.029535994,0.0002647266
6.033780098,1.245604,0.028744576,0.0002037813
6.0640201569,1.2468504,0.027954169,0.0028475334
6.0942602158,1.2801921,0.02756495,0.00971845
6.1245098114,1.2813841,0.02708833,0.008339079
6.1547498703,1.3154767,0.02684089,0.005622001
6.1849899292,1.3335398,0.026381256,0.009751083
6.2152299881,1.3507638,0.0259449,0
6.245470047,1.378612,0.02566785,0.0034175
6.2757201195,1.374979,0.025814641,0.010477327
6.3059601784,1.3924456,0.02675261,0
6.3362002373,1.4145048,0.027282115,0.0004120866
6.3664398193,1.4118911,0.027795693,0.0028451616
6.3966798782,1.4020444,0.02783548,0
6.4269299507,1.4144129,0.027902698,0.0001089491
6.4571700096,1.408245,0.028042024,0.014517665
6.4874100685,1.3781483,0.02881584,0
