WAVE,FLUX,ERR,ERRSYS
14.0693502426,1.8491485,0.021225471,0.21679708
14.1540298462,2.2291188,0.020925883,0.030053139
14.2387104034,2.1875684,0.02045231,0.1509868
14.3233804703,2.2922978,0.019790338,0.06688301
14.4080600739,2.2564037,0.01971385,0.09796554
14.4927396774,2.3210452,0.019617183,0.17384768
14.5774097443,2.3417552,0.019494426,0.17384768
14.6620903015,2.3870895,0.0200596,0.13810353
14.7467699051,2.3027198,0.01999277,0
14.8314504623,2.2801824,0.019875735,0.008916645
14.9161195755,2.300419,0.019325403,0.13070059
15.0008001328,2.268439,0.01841177,0.13070059
15.0854797363,2.3106682,0.017730381,0.13070059
15.1701498032,2.3403645,0.018363748,0.033121705
15.2548303604,2.4200873,0.018174376,0.11341749
15.339509964,2.4142792,0.017893085,0.030226946
15.4241800308,2.35579,0.01735349,0
15.5088596344,2.3294523,0.017220665,0.056888845
15.5935401917,2.4018474,0.017303245,0.05269873
15.6782102585,2.3603382,0.017386448,0.041499756
15.7628898621,2.3958743,0.017594723,0.11146116
15.8475704193,2.479104,0.018485894,0.0920381
15.9322395325,2.5474381,0.01930142,0
16.0169200897,2.404458,0.020454537,0
16.101600647,2.3690584,0.020089515,0
16.1862792969,2.3905864,0.020169519,0.110642195
16.2709503174,2.3850248,0.021752475,0.027447656
16.3556308746,2.42626,0.021268472,0
16.4403095245,2.3482478,0.020955902,0.075147755
16.524980545,2.3232543,0.020406496,0.09687805
16.6096591949,2.3448868,0.020107333,0.10589787
16.6943397522,2.4238596,0.020642508,0.11249757
16.7790107727,2.467784,0.021391325,0.11257813
16.8636894226,2.4265416,0.021822872,0.088334635
16.9483699799,2.3357017,0.021471953,0
17.033039093,2.3013566,0.020538054,0
17.1177196503,2.3182502,0.020152554,0
17.2024002075,2.4309783,0.020610863,0
17.2870693207,2.5168848,0.021750009,0.15328598
17.3717498779,2.5068789,0.022368355,0.15328598
17.4564304352,2.4628794,0.022092467,0.15328598
17.5411090851,2.5310807,0.021709895,0.033312082
17.6257801056,2.539075,0.021670954,0
17.7104606628,2.5547726,0.021926852,0
17.7951393127,2.5549304,0.022160018,0
17.8798103333,2.3501592,0.021840261,0
17.9644908905,2.3673346,0.021394853,0
18.0491695404,2.3525615,0.021318126,0.03173563
18.1338405609,2.4442759,0.020519119,0.15758345
18.2185192108,2.4298854,0.020759007,0.0014140904
18.3031997681,2.455729,0.02074922,0.16911077
18.3878707886,2.5024667,0.021508342,0.14620519
18.4725494385,2.596187,0.021955913,0.001754716
18.5572299957,2.5178354,0.021563405,0.11848017
