WAVE,FLUX,ERR,ERRSYS
5.2474899292,1.1760043,0.016081575,0
5.2777299881,1.2076323,0.01569237,0
5.307970047,1.2160501,0.014930071,0
5.3382101059,1.2290449,0.014617786,0
5.3684601784,1.2624692,0.015005402,0
5.3987002373,1.3086056,0.015416074,0
5.4289398193,1.354993,0.015518496,0
5.4591798782,1.3990866,0.01544325,0
5.4894199371,1.406322,0.015189593,0
5.5196700096,1.3965939,0.015163926,0
5.5499100685,1.4082863,0.015606881,0
5.5801501274,1.4407392,0.016249742,0
5.6103901863,1.4749967,0.016917437,0
5.6406297684,1.5269326,0.01737719,0
5.6708798409,1.5530959,0.0174373,0
5.7011198997,1.5747423,0.01779511,0
5.7313599586,1.6132551,0.019087682,0
5.7616000175,1.6341654,0.018575072,0
5.7918400764,1.7146167,0.019383293,0
5.8220901489,1.7388273,0.019494748,0
5.8523302078,1.746737,0.0190198,0
5.8825697899,1.7759011,0.018745866,0
5.9128098488,1.8309929,0.018763795,0
5.9430499077,1.8612258,0.018633453,0
5.9732999802,1.8973966,0.018472975,0
6.0035400391,1.9320059,0.018235883,0
6.033780098,1.9362837,0.017809583,0
6.0640201569,1.9875348,0.017807446,0
6.0942602158,2.0241983,0.01794957,0
6.1245098114,2.0565193,0.018342929,0
6.1547498703,2.0951624,0.018600294,0
6.1849899292,2.1384964,0.018943727,0
6.2152299881,2.1766236,0.019355215,0
6.245470047,2.203384,0.019863367,0
6.2757201195,2.2402523,0.020667063,0
6.3059601784,2.273047,0.021739513,0
6.3362002373,2.3002565,0.022708086,0
6.3664398193,2.3476906,0.023562327,0
6.3966798782,2.389129,0.023989603,0
6.4269299507,2.4288573,0.024160357,0
6.4571700096,2.4231892,0.024083698,0
6.4874100685,2.4020734,0.024131078,0
6.5176501274,2.4098587,0.024563253,0
6.5478901863,2.4231493,0.025060963,0
6.578139782,2.4487898,0.025356153,0
6.6083798409,2.4953716,0.025095137,0
6.6386198997,2.5677338,0.02437912,0
6.6688599586,2.5988445,0.023375701,0
6.6991000175,2.5930963,0.022688055,0
6.72935009,2.6107867,0.02272378,0
6.7595901489,2.622472,0.02322822,0
6.7898302078,2.652932,0.023948498,0
6.8200697899,2.7132337,0.024743343,0
6.8503098488,2.7700844,0.025430249,0
6.8805599213,2.842125,0.026178967,0
6.9107999802,2.8723583,0.026844649,0
6.9410400391,2.889079,0.027602231,0
6.971280098,2.921858,0.028591601,0
7.0015201569,2.9497726,0.029817404,0
7.0317702293,3.0146265,0.030931192,0
7.0620098114,3.0223703,0.031215351,0
7.0922498703,3.0586798,0.031677857,0
7.1224899292,3.0517075,0.031018024,0
7.1527299881,3.0721595,0.03093884,0
7.1829800606,3.066764,0.031432804,0
7.2132201195,3.0862591,0.032407697,0
7.2434601784,3.1285393,0.033349007,0
7.2737002373,3.165889,0.0342155,0
7.3039398193,3.1922243,0.03422269,0
7.3341898918,3.1954823,0.034024376,0
7.3644299507,3.248569,0.033947557,0
7.3946700096,3.2594657,0.033611305,0
7.4249100685,3.2533202,0.033330105,0
