WAVE,FLUX,ERR,ERRSYS
5.2474899292,0.5774593,0.013117988,0
5.2777299881,0.6226579,0.013743021,0.0034745336
5.307970047,0.65626657,0.013297309,0.0003576332
5.3382101059,0.6514074,0.012539006,0.0010071397
5.3684601784,0.6659489,0.012567178,0
5.3987002373,0.68917745,0.012789829,0
5.4289398193,0.7248308,0.012725857,0
5.4591798782,0.75627756,0.012379416,0
5.4894199371,0.7651995,0.011780057,0.008104563
5.5196700096,0.7641295,0.011645776,0
5.5499100685,0.7757439,0.01162775,0
5.5801501274,0.7994088,0.011769057,0
5.6103901863,0.83873624,0.011874695,0
5.6406297684,0.8625253,0.011744887,0
5.6708798409,0.8891811,0.011428982,0.003887713
5.7011198997,0.88001347,0.011083146,0
5.7313599586,0.9106865,0.011313888,0
5.7616000175,0.9384267,0.011758676,0
5.7918400764,0.97491,0.012220082,0
5.8220901489,1.0004313,0.012624392,0
5.8523302078,1.0196027,0.013116504,0.0091816075
5.8825697899,1.0523279,0.013610422,0.002640592
5.9128098488,1.0837377,0.014262662,0
5.9430499077,1.1137586,0.014892692,0.006981911
5.9732999802,1.156765,0.015702657,0.0066887597
6.0035400391,1.1926329,0.016229503,0.0026701025
6.033780098,1.2164155,0.016511679,0.0005762135
6.0640201569,1.2620189,0.01672225,0
6.0942602158,1.2884078,0.01673207,0
6.1245098114,1.315753,0.016695047,0
6.1547498703,1.344516,0.016695213,0
6.1849899292,1.3757925,0.016501509,0
6.2152299881,1.3923315,0.016159121,0.0042212456
6.245470047,1.4268123,0.015810218,0.010122717
6.2757201195,1.4356862,0.015745746,0
6.3059601784,1.4721037,0.016021062,0
6.3362002373,1.4995252,0.016287694,0
6.3664398193,1.5431819,0.016575936,0
6.3966798782,1.5820175,0.016640937,0
6.4269299507,1.6062137,0.016568508,0
6.4571700096,1.5962456,0.016562099,0
6.4874100685,1.5844826,0.017039932,0
6.5176501274,1.606545,0.017789131,0.0068678856
6.5478901863,1.637502,0.019127516,0.0068678856
6.578139782,1.6902024,0.020252774,0.00687778
6.6083798409,1.7185942,0.02057197,0.013064861
6.6386198997,1.8201962,0.021157112,0.013064861
6.6688599586,1.8615588,0.021102663,0
6.6991000175,1.8638029,0.02116208,0.0148694515
6.72935009,1.872801,0.021500224,0.012238979
6.7595901489,1.9016551,0.022416934,0.0040364265
6.7898302078,1.9381908,0.023472015,0
6.8200697899,1.9952855,0.024312112,0
6.8503098488,2.0365703,0.02480467,0
6.8805599213,2.0660372,0.024928017,0
6.9107999802,2.0815227,0.024920592,0.01693511
6.9410400391,2.0944855,0.025220092,0
6.971280098,2.124864,0.025483094,0
7.0015201569,2.159686,0.025722155,0
7.0317702293,2.2184043,0.025727393,0
7.0620098114,2.240498,0.025091618,0
7.0922498703,2.2798142,0.02469667,0
7.1224899292,2.29494,0.024189202,6.566984E-005
7.1527299881,2.3080935,0.023973038,8.249283E-005
7.1829800606,2.3062413,0.02412821,2.36794E-005
7.2132201195,2.3309846,0.025080863,0
7.2434601784,2.3706737,0.026254617,0.005065903
7.2737002373,2.4101555,0.027664782,0.0033209762
7.3039398193,2.4693203,0.02887414,0
7.3341898918,2.5248046,0.0298094,0.014215932
7.3644299507,2.5260534,0.030368559,0.015148236
