WAVE,FLUX,ERR,ERRSYS
14.0693502426,0.24824554,0.012489737,0
14.1540298462,0.32479024,0.011476438,0.10631511
14.2387104034,0.26094913,0.010470952,0.028107084
14.3233804703,0.2418463,0.010090416,0
14.4080600739,0.2783783,0.009853713,0.07753615
14.4927396774,0.29012683,0.009031325,0.1171345
14.5774097443,0.28623903,0.008861167,0.11667531
14.6620903015,0.28942427,0.009009938,0.116312765
14.7467699051,0.2800802,0.009019074,0.09333442
14.8314504623,0.33159617,0.008852382,0.013290582
14.9161195755,0.28081056,0.00852209,0.122323014
15.0008001328,0.2777901,0.008316143,0.11790052
15.0854797363,0.26924124,0.007999959,0.12238516
15.1701498032,0.2725929,0.008081308,0.1229783
15.2548303604,0.26659584,0.008117322,0.1270524
15.339509964,0.21108627,0.008054334,0.028366372
15.4241800308,0.23390466,0.007659352,0
15.5088596344,0.28004035,0.0075025265,0.07853146
15.5935401917,0.21839663,0.0073974878,0.0675521
15.6782102585,0.25859165,0.007334985,0
15.7628898621,0.27060553,0.007359082,0
15.8475704193,0.29191884,0.0076464005,0
15.9322395325,0.3037776,0.008155569,0
16.0169200897,0.19345248,0.008937073,0.027873108
16.101600647,0.23576051,0.008677647,0.13384716
16.1862792969,0.2950189,0.008606654,0.018255934
16.2709503174,0.17772162,0.009767389,0
16.3556308746,0.19719161,0.010153285,0
16.4403095245,0.25661123,0.009974325,0.088184796
16.524980545,0.23928866,0.00956821,0.11167526
16.6096591949,0.24545202,0.0093827015,0.1090455
16.6943397522,0.25458828,0.009500299,0.10550628
16.7790107727,0.25839603,0.009858799,0.10346143
16.8636894226,0.262385,0.009925967,0.0977224
16.9483699799,0.26526734,0.00979318,0.085243285
17.033039093,0.25695226,0.0094512375,0.084808454
17.1177196503,0.2749063,0.009832043,0.07946485
17.2024002075,0.3032343,0.01016175,0
17.2870693207,0.29612395,0.011507842,0.0776625
17.3717498779,0.310499,0.012268908,0.06347452
17.4564304352,0.3158219,0.012255513,0.056029115
17.5411090851,0.3170286,0.012105848,0.051321477
17.6257801056,0.31561273,0.012128181,0.046258382
17.7104606628,0.3316145,0.012610567,0.043978304
17.7951393127,0.33797446,0.013076308,0.040274236
17.8798103333,0.3342006,0.013626435,0.021747591
17.9644908905,0.35178205,0.013803093,0
18.0491695404,0.3422533,0.014131646,0
18.1338405609,0.32796767,0.013317894,0
18.2185192108,0.33909827,0.013537518,0
18.3031997681,0.35381892,0.01462907,0
18.3878707886,0.34880197,0.014596226,0
18.4725494385,0.33666918,0.012386468,0
18.5572299957,0.33688515,0.0123967,0
18.6418991089,0.33375886,0.012817429,0.0048605064
18.7265796661,0.33463886,0.013157829,0.011728741
18.8112602234,0.32857123,0.0139128575,0.007180567
18.8959407806,0.32374874,0.012659148,0.010394367
18.9806098938,0.31727225,0.012971001,0.013399934
19.065290451,0.3128275,0.012849636,0.010594516
19.149969101,0.3212559,0.0131456135,0.03819285
19.2346401215,0.32795838,0.013302847,0.059262313
19.3193206787,0.342736,0.013588599,0.07650291
19.4039993286,0.3357056,0.013850446,0.085268825
19.4886703491,0.3502253,0.014411029,0.09271604
19.5733509064,0.36426818,0.016581262,0.10365638
19.6580295563,0.46007475,0.017812373,0.0104376
19.7427005768,0.47042966,0.018389862,0
19.8273792267,0.45966202,0.018421628,0
19.9120597839,0.47941086,0.018977277,0
19.9967308044,0.47724247,0.018669365,0
20.0814094543,0.4859619,0.019163981,0
20.1660900116,0.40440112,0.018889533,0
20.2507705688,0.45544034,0.019985339,0.04295557
