WAVE,FLUX,ERR,ERRSYS
14.0693502426,4.589922,0.031797495,0
14.1540298462,4.614741,0.029234707,0
14.2387104034,4.628365,0.02806099,0
14.3233804703,4.6363244,0.027363576,0
14.4080600739,4.691233,0.027276693,0.035508793
14.4927396774,4.7542915,0.027111841,0.033759348
14.5774097443,4.8043385,0.027296508,0
14.6620903015,4.836873,0.027501173,0
14.7467699051,4.771041,0.027629955,0
14.8314504623,4.82392,0.027721697,0
14.9161195755,4.810882,0.026528103,0
15.0008001328,4.7636204,0.025915578,0
15.0854797363,4.754779,0.024914855,0.05028677
15.1701498032,4.7002296,0.024676502,0.05028677
15.2548303604,4.5848255,0.024467628,0.0066308863
15.339509964,4.453254,0.023992892,0
15.4241800308,4.393713,0.023329563,0.024773568
15.5088596344,4.3150415,0.022819757,0.036994457
15.5935401917,4.260451,0.02259197,0.036994457
15.6782102585,4.175159,0.02226107,0.023231678
15.7628898621,4.0880694,0.022266032,0.008234845
15.8475704193,4.0511937,0.022790441,0.029128553
15.9322395325,4.011649,0.023960155,0.022330387
16.0169200897,3.9948995,0.024375623,0.005059078
16.101600647,3.911245,0.02472367,0.024124146
16.1862792969,3.9671655,0.02490346,0
16.2709503174,4.0070024,0.025832651,0
16.3556308746,4.046068,0.02772505,0
16.4403095245,4.0848026,0.026536483,0
16.524980545,4.1169305,0.02567372,0
16.6096591949,4.1080236,0.025642296,0.013499351
16.6943397522,4.1104956,0.02623867,0.014757436
16.7790107727,4.093355,0.02661369,0.009691529
16.8636894226,4.1193285,0.027281681,0.027034158
16.9483699799,4.126972,0.027179806,0.025231246
17.033039093,4.1270175,0.025946416,0
17.1177196503,4.121351,0.025667155,0.007231126
17.2024002075,4.0679555,0.025668668,0.03360939
17.2870693207,4.1189027,0.026706697,0.03360939
17.3717498779,4.144058,0.027252553,0.0006258413
17.4564304352,4.1749797,0.027267765,0
17.5411090851,4.1747966,0.026983444,0.013564892
17.6257801056,4.201936,0.027038341,0.0068631824
17.7104606628,4.1840606,0.02713503,0.0008397622
17.7951393127,4.1664085,0.02780502,0
17.8798103333,4.1319423,0.027807098,0
17.9644908905,4.1254673,0.027932283,0
18.0491695404,4.136282,0.027851768,0
18.1338405609,4.145846,0.026911445,0.0035197723
18.2185192108,4.227228,0.027093899,0.040147305
18.3031997681,4.244701,0.027605368,0
18.3878707886,4.3241763,0.027352337,0
18.4725494385,4.312242,0.027012065,0.036246486
18.5572299957,4.351217,0.027266271,0.004061386
18.6418991089,4.381481,0.027883407,0
