 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  year4_3200_600.inp                                                    
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Central source spectrum described by a black body                       
  with temperature: 3200 K
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  MRN size distribution:
       Power q:  3.5
  Minimal size: 5.00E-03 microns
  Maximal size: 2.50E-01 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1213 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
   1 1.00E-01 6.07E+03 7.10E+14 3.13E+01 5.30E+00   16   0  3.86E-06 1.10E+01 2.37E+00
   2 1.06E-01 5.99E+03 7.14E+14 3.15E+01 5.33E+00   16   0  4.06E-06 1.10E+01 2.41E+00
   3 1.13E-01 5.89E+03 7.20E+14 3.18E+01 5.37E+00   16   0  4.32E-06 1.11E+01 2.46E+00
   4 1.21E-01 5.82E+03 7.25E+14 3.20E+01 5.41E+00   16   0  4.54E-06 1.11E+01 2.50E+00
   5 1.29E-01 5.74E+03 7.30E+14 3.22E+01 5.45E+00   16   0  4.77E-06 1.11E+01 2.54E+00
   6 1.37E-01 5.66E+03 7.35E+14 3.24E+01 5.48E+00   16   0  5.01E-06 1.10E+01 2.57E+00
   7 1.46E-01 5.59E+03 7.40E+14 3.26E+01 5.52E+00   16   0  5.25E-06 1.10E+01 2.61E+00
   8 1.55E-01 5.51E+03 7.45E+14 3.29E+01 5.56E+00   16   0  5.52E-06 1.10E+01 2.64E+00
   9 1.65E-01 5.43E+03 7.51E+14 3.31E+01 5.60E+00   16   0  5.79E-06 1.10E+01 2.67E+00
  10 1.76E-01 5.35E+03 7.56E+14 3.34E+01 5.64E+00   16   0  6.07E-06 1.09E+01 2.70E+00
  11 1.87E-01 5.27E+03 7.62E+14 3.36E+01 5.69E+00   16   0  6.37E-06 1.09E+01 2.73E+00
