 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  year4_3200_350.inp                                                    
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Central source spectrum described by a black body                       
  with temperature: 3200 K
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  MRN size distribution:
       Power q:  3.5
  Minimal size: 5.00E-03 microns
  Maximal size: 2.50E-01 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 350  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 751  K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
   1 1.00E-01 8.88E+02 1.86E+15 8.19E+01 1.38E+01   12   0  6.25E-06 6.78E+00 2.37E+00
   2 1.06E-01 8.77E+02 1.87E+15 8.24E+01 1.39E+01   12   0  6.57E-06 6.79E+00 2.41E+00
   3 1.13E-01 8.63E+02 1.88E+15 8.31E+01 1.40E+01   12   0  6.99E-06 6.83E+00 2.46E+00
   4 1.21E-01 8.51E+02 1.90E+15 8.36E+01 1.41E+01   12   0  7.34E-06 6.84E+00 2.50E+00
   5 1.29E-01 8.40E+02 1.91E+15 8.42E+01 1.42E+01   12   0  7.71E-06 6.84E+00 2.54E+00
   6 1.37E-01 8.28E+02 1.92E+15 8.48E+01 1.43E+01   12   0  8.09E-06 6.83E+00 2.58E+00
   7 1.46E-01 8.17E+02 1.93E+15 8.54E+01 1.44E+01   12   0  8.50E-06 6.82E+00 2.61E+00
   8 1.55E-01 8.05E+02 1.95E+15 8.60E+01 1.45E+01   12   0  8.92E-06 6.80E+00 2.64E+00
   9 1.65E-01 7.93E+02 1.96E+15 8.66E+01 1.46E+01   11   0  9.36E-06 6.78E+00 2.67E+00
  10 1.76E-01 7.81E+02 1.98E+15 8.73E+01 1.48E+01   11   0  9.82E-06 6.75E+00 2.70E+00
  11 1.87E-01 7.70E+02 1.99E+15 8.79E+01 1.49E+01   11   0  1.03E-05 6.72E+00 2.73E+00
  12 1.99E-01 7.58E+02 2.01E+15 8.86E+01 1.50E+01   11   0  1.08E-05 6.68E+00 2.75E+00
  13 2.12E-01 7.46E+02 2.02E+15 8.93E+01 1.51E+01   11   0  1.13E-05 6.63E+00 2.77E+00
  14 2.26E-01 7.34E+02 2.04E+15 9.00E+01 1.52E+01   11   0  1.19E-05 6.57E+00 2.79E+00
  15 2.41E-01 7.23E+02 2.06E+15 9.07E+01 1.53E+01   11   0  1.24E-05 6.51E+00 2.80E+00
  16 2.56E-01 7.11E+02 2.07E+15 9.15E+01 1.55E+01   11   0  1.30E-05 6.44E+00 2.81E+00
  17 2.73E-01 7.00E+02 2.09E+15 9.22E+01 1.56E+01   11   0  1.36E-05 6.37E+00 2.82E+00
  18 2.91E-01 6.88E+02 2.11E+15 9.30E+01 1.57E+01   11   0  1.42E-05 6.29E+00 2.83E+00
  19 3.10E-01 6.77E+02 2.12E+15 9.37E+01 1.59E+01   11   0  1.49E-05 6.20E+00 2.83E+00
  20 3.30E-01 6.66E+02 2.14E+15 9.45E+01 1.60E+01   11   0  1.55E-05 6.11E+00 2.83E+00
  21 3.51E-01 6.56E+02 2.16E+15 9.53E+01 1.61E+01   11   0  1.62E-05 6.01E+00 2.82E+00
  22 3.74E-01 6.45E+02 2.18E+15 9.60E+01 1.62E+01   11   0  1.69E-05 5.91E+00 2.81E+00
  23 3.98E-01 6.35E+02 2.19E+15 9.68E+01 1.64E+01   11   0  1.77E-05 5.80E+00 2.80E+00
  24 4.24E-01 6.25E+02 2.21E+15 9.76E+01 1.65E+01   11   0  1.84E-05 5.68E+00 2.78E+00
  25 4.51E-01 6.15E+02 2.23E+15 9.83E+01 1.66E+01   10   0  1.92E-05 5.56E+00 2.76E+00
  26 4.80E-01 6.06E+02 2.25E+15 9.91E+01 1.68E+01   10   0  2.00E-05 5.44E+00 2.74E+00
  27 5.11E-01 5.96E+02 2.26E+15 9.99E+01 1.69E+01   10   0  2.08E-05 5.31E+00 2.71E+00
  28 5.45E-01 5.87E+02 2.28E+15 1.01E+02 1.70E+01   10   0  2.17E-05 5.18E+00 2.68E+00
  29 5.80E-01 5.78E+02 2.30E+15 1.01E+02 1.72E+01   10   0  2.25E-05 5.04E+00 2.65E+00
  30 6.17E-01 5.70E+02 2.32E+15 1.02E+02 1.73E+01   10   0  2.35E-05 4.95E+00 2.63E+00
  31 6.57E-01 5.61E+02 2.33E+15 1.03E+02 1.74E+01   10   0  2.46E-05 4.87E+00 2.61E+00
  32 7.00E-01 5.53E+02 2.35E+15 1.04E+02 1.75E+01   10   0  2.57E-05 4.79E+00 2.58E+00
  33 7.45E-01 5.45E+02 2.37E+15 1.05E+02 1.77E+01   10   0  2.68E-05 4.71E+00 2.55E+00
  34 7.94E-01 5.37E+02 2.39E+15 1.05E+02 1.78E+01   10   0  2.80E-05 4.62E+00 2.53E+00
  35 8.45E-01 5.29E+02 2.40E+15 1.06E+02 1.79E+01   10   0  2.93E-05 4.54E+00 2.49E+00
  36 9.00E-01 5.21E+02 2.42E+15 1.07E+02 1.81E+01   10   0  3.06E-05 4.46E+00 2.46E+00
  37 9.58E-01 5.14E+02 2.44E+15 1.08E+02 1.82E+01   10   0  3.19E-05 4.37E+00 2.43E+00
  38 1.02E+00 5.07E+02 2.46E+15 1.08E+02 1.83E+01   10   0  3.33E-05 4.29E+00 2.39E+00
  39 1.09E+00 5.00E+02 2.47E+15 1.09E+02 1.85E+01   10   0  3.48E-05 4.21E+00 2.35E+00
  40 1.16E+00 4.93E+02 2.49E+15 1.10E+02 1.86E+01    9   0 3.63E-05 4.12E+00 2.31E+00
  41 1.23E+00 4.86E+02 2.51E+15 1.11E+02 1.87E+01    9   0 3.79E-05 4.04E+00 2.28E+00
  42 1.31E+00 4.82E+02 2.52E+15 1.11E+02 1.88E+01    9   0 3.91E-05 3.97E+00 2.25E+00
  43 1.40E+00 4.74E+02 2.54E+15 1.12E+02 1.90E+01    9   0 4.08E-05 3.90E+00 2.20E+00
  44 1.49E+00 4.67E+02 2.56E+15 1.13E+02 1.91E+01    9   0 4.26E-05 3.82E+00 2.16E+00
  45 1.58E+00 4.61E+02 2.58E+15 1.14E+02 1.92E+01    9   0 4.45E-05 3.74E+00 2.12E+00
