 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  year4_3700_600.inp                                                    
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Central source spectrum described by a black body                       
  with temperature: 3700 K
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  MRN size distribution:
       Power q:  3.5
  Minimal size: 5.00E-03 microns
  Maximal size: 2.50E-01 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1200 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
  24 4.24E-01 3.22E+03 9.74E+14 5.74E+01 7.27E+00   14   0  1.33E-05 8.92E+00 3.31E+00
  25 4.51E-01 3.18E+03 9.81E+14 5.79E+01 7.32E+00   14   0  1.38E-05 8.69E+00 3.28E+00
  26 4.80E-01 3.13E+03 9.88E+14 5.83E+01 7.37E+00   14   0  1.43E-05 8.45E+00 3.23E+00
  27 5.11E-01 3.09E+03 9.95E+14 5.87E+01 7.42E+00   14   0  1.49E-05 8.29E+00 3.20E+00
  28 5.45E-01 3.05E+03 1.00E+15 5.91E+01 7.48E+00   14   0  1.56E-05 8.15E+00 3.17E+00
  29 5.80E-01 3.00E+03 1.01E+15 5.95E+01 7.53E+00   14   0  1.63E-05 8.01E+00 3.14E+00
  30 6.17E-01 2.96E+03 1.02E+15 5.99E+01 7.58E+00   13   0  1.70E-05 7.87E+00 3.10E+00
  31 6.57E-01 2.92E+03 1.02E+15 6.03E+01 7.63E+00   13   0  1.77E-05 7.72E+00 3.06E+00
  32 7.00E-01 2.89E+03 1.03E+15 6.07E+01 7.68E+00   13   0  1.84E-05 7.58E+00 3.02E+00
  33 7.45E-01 2.85E+03 1.04E+15 6.11E+01 7.73E+00   13   0  1.92E-05 7.43E+00 2.98E+00
  34 7.94E-01 2.81E+03 1.04E+15 6.15E+01 7.78E+00   13   0  2.00E-05 7.28E+00 2.93E+00
  35 8.45E-01 2.78E+03 1.05E+15 6.19E+01 7.83E+00   13   0  2.09E-05 7.14E+00 2.89E+00
  36 9.00E-01 2.74E+03 1.06E+15 6.23E+01 7.88E+00   13   0  2.17E-05 7.00E+00 2.84E+00
  37 9.58E-01 2.70E+03 1.06E+15 6.28E+01 7.94E+00   13   0  2.26E-05 6.88E+00 2.78E+00
  38 1.02E+00 2.67E+03 1.07E+15 6.31E+01 7.99E+00   13   0  2.36E-05 6.74E+00 2.73E+00
  39 1.09E+00 2.64E+03 1.08E+15 6.35E+01 8.04E+00   13   0  2.46E-05 6.60E+00 2.68E+00
  40 1.16E+00 2.60E+03 1.08E+15 6.39E+01 8.09E+00   13   0  2.56E-05 6.46E+00 2.62E+00
  41 1.23E+00 2.57E+03 1.09E+15 6.43E+01 8.13E+00   13   0  2.66E-05 6.32E+00 2.57E+00
  42 1.31E+00 2.55E+03 1.09E+15 6.45E+01 8.17E+00   12   0  2.74E-05 6.22E+00 2.53E+00
  43 1.40E+00 2.52E+03 1.10E+15 6.49E+01 8.21E+00   12   0  2.86E-05 6.08E+00 2.48E+00
  44 1.49E+00 2.49E+03 1.11E+15 6.53E+01 8.26E+00   12   0  2.98E-05 5.95E+00 2.42E+00
  45 1.58E+00 2.46E+03 1.11E+15 6.57E+01 8.31E+00   12   0  3.10E-05 5.83E+00 2.37E+00
  46 1.69E+00 2.43E+03 1.12E+15 6.61E+01 8.37E+00   12   0  3.25E-05 5.77E+00 2.29E+00
  47 1.80E+00 2.40E+03 1.13E+15 6.65E+01 8.42E+00   12   0  3.38E-05 5.65E+00 2.24E+00
  48 1.91E+00 2.38E+03 1.13E+15 6.69E+01 8.46E+00   12   0  3.52E-05 5.54E+00 2.19E+00
  49 2.04E+00 2.35E+03 1.14E+15 6.73E+01 8.51E+00   12   0  3.67E-05 5.43E+00 2.14E+00
  50 2.17E+00 2.32E+03 1.15E+15 6.77E+01 8.56E+00   12   0  3.83E-05 5.32E+00 2.09E+00
  51 2.31E+00 2.30E+03 1.15E+15 6.80E+01 8.61E+00   12   0  3.99E-05 5.22E+00 2.04E+00
  52 2.46E+00 2.27E+03 1.16E+15 6.84E+01 8.66E+00   12   0  4.16E-05 5.12E+00 1.99E+00
  53 2.62E+00 2.25E+03 1.17E+15 6.88E+01 8.71E+00   12   1  4.33E-05 5.02E+00 1.94E+00
  54 2.79E+00 2.23E+03 1.17E+15 6.91E+01 8.74E+00   12   1  4.47E-05 4.95E+00 1.90E+00
  55 2.97E+00 2.20E+03 1.18E+15 6.95E+01 8.79E+00   12   1  4.66E-05 4.86E+00 1.86E+00
  56 3.16E+00 2.18E+03 1.18E+15 6.99E+01 8.84E+00   11   1  4.86E-05 4.78E+00 1.81E+00
  57 3.36E+00 2.15E+03 1.19E+15 7.03E+01 8.89E+00   11   1  5.07E-05 4.70E+00 1.77E+00
  58 3.58E+00 2.13E+03 1.20E+15 7.07E+01 8.94E+00   11   1  5.29E-05 4.62E+00 1.73E+00
  59 3.81E+00 2.10E+03 1.21E+15 7.12E+01 9.00E+00   11   1  5.55E-05 4.60E+00 1.67E+00
  60 4.06E+00 2.08E+03 1.21E+15 7.16E+01 9.06E+00   11   1  5.79E-05 4.53E+00 1.63E+00
  61 4.32E+00 2.06E+03 1.22E+15 7.19E+01 9.10E+00   11   0  6.01E-05 4.60E+00 1.57E+00
  62 4.60E+00 2.03E+03 1.23E+15 7.23E+01 9.15E+00   11   0  6.28E-05 4.53E+00 1.53E+00
  63 4.90E+00 2.01E+03 1.23E+15 7.28E+01 9.20E+00   11   0  6.55E-05 4.46E+00 1.49E+00
  64 5.22E+00 1.99E+03 1.24E+15 7.32E+01 9.26E+00   11   0  6.84E-05 4.40E+00 1.46E+00
  65 5.56E+00 1.96E+03 1.25E+15 7.36E+01 9.32E+00   11   0  7.15E-05 4.34E+00 1.42E+00
  66 5.92E+00 1.94E+03 1.26E+15 7.41E+01 9.37E+00   11   0  7.47E-05 4.29E+00 1.39E+00
  67 6.30E+00 1.91E+03 1.26E+15 7.45E+01 9.43E+00   11   0  7.80E-05 4.23E+00 1.36E+00
  68 6.71E+00 1.89E+03 1.27E+15 7.50E+01 9.49E+00   11   0  8.15E-05 4.18E+00 1.33E+00
  69 7.14E+00 1.87E+03 1.28E+15 7.55E+01 9.55E+00   11   0  8.53E-05 4.13E+00 1.30E+00
  70 7.61E+00 1.85E+03 1.29E+15 7.58E+01 9.59E+00   11   0  8.81E-05 4.09E+00 1.28E+00
  71 8.10E+00 1.83E+03 1.29E+15 7.63E+01 9.65E+00   11   0  9.22E-05 4.05E+00 1.25E+00
  72 8.62E+00 1.80E+03 1.30E+15 7.68E+01 9.72E+00   11   0  9.64E-05 4.00E+00 1.22E+00
  73 9.18E+00 1.78E+03 1.31E+15 7.73E+01 9.78E+00   10   0  1.01E-04 3.96E+00 1.20E+00
  74 9.78E+00 1.76E+03 1.32E+15 7.78E+01 9.85E+00   10   0  1.06E-04 3.92E+00 1.17E+00
  75 1.04E+01 1.73E+03 1.33E+15 7.84E+01 9.92E+00   10   0  1.11E-04 3.88E+00 1.15E+00
  76 1.11E+01 1.71E+03 1.34E+15 7.89E+01 9.99E+00   10   0  1.16E-04 3.84E+00 1.13E+00
  77 1.18E+01 1.68E+03 1.35E+15 7.95E+01 1.01E+01   10   0  1.22E-04 3.80E+00 1.10E+00
  78 1.26E+01 1.66E+03 1.36E+15 8.01E+01 1.01E+01   10   0  1.28E-04 3.77E+00 1.08E+00
  79 1.34E+01 1.63E+03 1.37E+15 8.07E+01 1.02E+01   10   0  1.34E-04 3.73E+00 1.06E+00
  80 1.42E+01 1.61E+03 1.38E+15 8.13E+01 1.03E+01   10   0  1.40E-04 3.70E+00 1.04E+00
  81 1.52E+01 1.59E+03 1.39E+15 8.19E+01 1.04E+01   10   0  1.47E-04 3.67E+00 1.02E+00
  82 1.62E+01 1.56E+03 1.40E+15 8.26E+01 1.04E+01   10   0  1.55E-04 3.65E+00 1.01E+00
  83 1.72E+01 1.54E+03 1.41E+15 8.32E+01 1.05E+01   10   1  1.62E-04 3.62E+00 9.89E-01
  84 1.83E+01 1.51E+03 1.42E+15 8.39E+01 1.06E+01   10   1  1.71E-04 3.59E+00 9.73E-01
  85 1.95E+01 1.49E+03 1.43E+15 8.46E+01 1.07E+01   10   1  1.79E-04 3.57E+00 9.57E-01
  86 2.08E+01 1.46E+03 1.45E+15 8.53E+01 1.08E+01   10   1  1.88E-04 3.54E+00 9.41E-01
  87 2.21E+01 1.44E+03 1.46E+15 8.58E+01 1.09E+01   10   1  1.97E-04 3.54E+00 9.22E-01
  88 2.35E+01 1.42E+03 1.47E+15 8.66E+01 1.10E+01   10   1  2.07E-04 3.51E+00 9.08E-01
  89 2.51E+01 1.39E+03 1.48E+15 8.74E+01 1.11E+01   10   1  2.18E-04 3.49E+00 8.94E-01
  90 2.67E+01 1.37E+03 1.50E+15 8.82E+01 1.12E+01   10   1  2.29E-04 3.46E+00 8.82E-01
  91 2.84E+01 1.34E+03 1.51E+15 8.91E+01 1.13E+01    9   1 2.41E-04 3.44E+00 8.69E-01
  92 3.03E+01 1.31E+03 1.53E+15 9.00E+01 1.14E+01    9   1 2.54E-04 3.42E+00 8.57E-01
  93 3.22E+01 1.29E+03 1.54E+15 9.09E+01 1.15E+01    9   1 2.68E-04 3.39E+00 8.46E-01
  94 3.43E+01 1.26E+03 1.56E+15 9.18E+01 1.16E+01    9   1 2.83E-04 3.37E+00 8.35E-01
  95 3.65E+01 1.23E+03 1.57E+15 9.28E+01 1.17E+01    9   2 2.99E-04 3.35E+00 8.25E-01
  96 3.89E+01 1.21E+03 1.59E+15 9.39E+01 1.19E+01    9   2 3.15E-04 3.32E+00 8.15E-01
  97 4.14E+01 1.18E+03 1.61E+15 9.50E+01 1.20E+01    9   2 3.33E-04 3.30E+00 8.06E-01
  98 4.41E+01 1.15E+03 1.63E+15 9.64E+01 1.22E+01    9   2 3.52E-04 3.28E+00 7.93E-01
  99 4.70E+01 1.12E+03 1.65E+15 9.76E+01 1.23E+01    9   2 3.72E-04 3.26E+00 7.85E-01
 100 5.00E+01 1.09E+03 1.68E+15 9.88E+01 1.25E+01    9   2 3.94E-04 3.23E+00 7.77E-01
 ======================================================================================
   (1) Optical depth at 1.0E+01 microns
   (2) Bolometric flux at the inner radius 
   (3) Inner radius for L=1E4 Lsun
   (4) Ratio of the inner to the stellar radius
   (5) Angular size (in arcsec) when Fbol=1E-6 W/m2
   (6) Dust temperature at the outer edge (in K)
   (7) Maximum error in flux conservation (%)
   (8) Mass-loss rate (in Msun/yr)
   (9) Terminal outflow velocity (in km/s)
   (10) Upper limit of the stellar mass (in Msun)
 =================================================
  Everything is OK for all models
  Spectra are in files *.s##
 ========== THE END ==============================
