 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  year4_3700_600.inp                                                    
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Central source spectrum described by a black body                       
  with temperature: 3700 K
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  MRN size distribution:
       Power q:  3.5
  Minimal size: 5.00E-03 microns
  Maximal size: 2.50E-01 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1200 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
   1 1.00E-01 4.59E+03 8.16E+14 4.81E+01 6.09E+00   16   0  4.71E-06 1.15E+01 3.06E+00
   2 1.06E-01 4.53E+03 8.21E+14 4.84E+01 6.13E+00   16   0  4.94E-06 1.15E+01 3.11E+00
   3 1.13E-01 4.45E+03 8.29E+14 4.89E+01 6.19E+00   16   0  5.25E-06 1.15E+01 3.16E+00
   4 1.21E-01 4.39E+03 8.35E+14 4.92E+01 6.23E+00   16   0  5.51E-06 1.15E+01 3.21E+00
   5 1.29E-01 4.32E+03 8.41E+14 4.96E+01 6.27E+00   16   0  5.78E-06 1.15E+01 3.25E+00
   6 1.37E-01 4.26E+03 8.47E+14 5.00E+01 6.32E+00   16   0  6.07E-06 1.15E+01 3.29E+00
   7 1.46E-01 4.20E+03 8.54E+14 5.03E+01 6.37E+00   16   0  6.36E-06 1.14E+01 3.32E+00
   8 1.55E-01 4.13E+03 8.60E+14 5.07E+01 6.42E+00   15   0  6.67E-06 1.14E+01 3.35E+00
   9 1.65E-01 4.07E+03 8.67E+14 5.11E+01 6.47E+00   15   0  6.99E-06 1.13E+01 3.38E+00
  10 1.76E-01 4.01E+03 8.74E+14 5.15E+01 6.52E+00   15   0  7.32E-06 1.12E+01 3.41E+00
  11 1.87E-01 3.94E+03 8.81E+14 5.19E+01 6.57E+00   15   0  7.67E-06 1.11E+01 3.43E+00
  12 1.99E-01 3.88E+03 8.88E+14 5.23E+01 6.62E+00   15   0  8.03E-06 1.10E+01 3.44E+00
  13 2.12E-01 3.82E+03 8.95E+14 5.28E+01 6.67E+00   15   0  8.40E-06 1.09E+01 3.46E+00
  14 2.26E-01 3.76E+03 9.02E+14 5.32E+01 6.73E+00   15   0  8.78E-06 1.08E+01 3.47E+00
  15 2.41E-01 3.70E+03 9.09E+14 5.36E+01 6.78E+00   15   0  9.17E-06 1.06E+01 3.47E+00
  16 2.56E-01 3.64E+03 9.16E+14 5.40E+01 6.84E+00   15   0  9.58E-06 1.05E+01 3.47E+00
  17 2.73E-01 3.59E+03 9.23E+14 5.45E+01 6.89E+00   15   0  1.00E-05 1.03E+01 3.47E+00
  18 2.91E-01 3.53E+03 9.31E+14 5.49E+01 6.94E+00   15   0  1.04E-05 1.01E+01 3.46E+00
  19 3.10E-01 3.48E+03 9.38E+14 5.53E+01 7.00E+00   14   0  1.09E-05 9.96E+00 3.44E+00
  20 3.30E-01 3.42E+03 9.45E+14 5.57E+01 7.05E+00   14   0  1.13E-05 9.77E+00 3.43E+00
  21 3.51E-01 3.37E+03 9.52E+14 5.62E+01 7.11E+00   14   0  1.18E-05 9.57E+00 3.40E+00
  22 3.74E-01 3.32E+03 9.60E+14 5.66E+01 7.16E+00   14   0  1.23E-05 9.36E+00 3.38E+00
  23 3.98E-01 3.27E+03 9.67E+14 5.70E+01 7.21E+00   14   0  1.28E-05 9.14E+00 3.35E+00
