 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  year4_3300_350.inp                                                    
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Central source spectrum described by a black body                       
  with temperature: 3300 K
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  MRN size distribution:
       Power q:  3.5
  Minimal size: 5.00E-03 microns
  Maximal size: 2.50E-01 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 350  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 742  K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
  41 1.23E+00 4.60E+02 2.58E+15 1.21E+02 1.92E+01    9   0 3.90E-05 4.00E+00 2.34E+00
  42 1.31E+00 4.54E+02 2.59E+15 1.22E+02 1.94E+01    9   0 4.02E-05 3.95E+00 2.30E+00
  43 1.40E+00 4.48E+02 2.61E+15 1.23E+02 1.95E+01    9   0 4.20E-05 3.87E+00 2.26E+00
  44 1.49E+00 4.42E+02 2.63E+15 1.23E+02 1.96E+01    9   0 4.38E-05 3.79E+00 2.22E+00
  45 1.58E+00 4.36E+02 2.65E+15 1.24E+02 1.97E+01    9   0 4.57E-05 3.71E+00 2.17E+00
  46 1.69E+00 4.30E+02 2.67E+15 1.25E+02 1.99E+01    9   0 4.79E-05 3.67E+00 2.11E+00
  47 1.80E+00 4.24E+02 2.69E+15 1.26E+02 2.00E+01    9   0 5.00E-05 3.59E+00 2.07E+00
  48 1.91E+00 4.18E+02 2.70E+15 1.27E+02 2.02E+01    9   0 5.22E-05 3.52E+00 2.02E+00
  49 2.04E+00 4.13E+02 2.72E+15 1.28E+02 2.03E+01    9   0 5.44E-05 3.45E+00 1.98E+00
  50 2.17E+00 4.07E+02 2.74E+15 1.29E+02 2.04E+01    9   0 5.68E-05 3.38E+00 1.94E+00
  51 2.31E+00 4.02E+02 2.76E+15 1.29E+02 2.06E+01    9   0 5.93E-05 3.31E+00 1.90E+00
  52 2.46E+00 3.97E+02 2.78E+15 1.30E+02 2.07E+01    9   0 6.19E-05 3.25E+00 1.85E+00
  53 2.62E+00 3.91E+02 2.79E+15 1.31E+02 2.09E+01    9   0 6.46E-05 3.18E+00 1.81E+00
  54 2.79E+00 3.88E+02 2.81E+15 1.32E+02 2.09E+01    9   1 6.68E-05 3.14E+00 1.78E+00
  55 2.97E+00 3.83E+02 2.83E+15 1.33E+02 2.11E+01    8   1 6.97E-05 3.08E+00 1.74E+00
  56 3.16E+00 3.77E+02 2.85E+15 1.34E+02 2.12E+01    8   1 7.29E-05 3.02E+00 1.70E+00
  57 3.36E+00 3.72E+02 2.87E+15 1.34E+02 2.14E+01    8   1 7.62E-05 2.97E+00 1.66E+00
  58 3.58E+00 3.67E+02 2.89E+15 1.35E+02 2.15E+01    8   1 7.96E-05 2.92E+00 1.63E+00
  59 3.81E+00 3.61E+02 2.91E+15 1.37E+02 2.17E+01    8   1 8.36E-05 2.90E+00 1.58E+00
  60 4.06E+00 3.56E+02 2.93E+15 1.38E+02 2.19E+01    8   1 8.74E-05 2.85E+00 1.54E+00
  61 4.32E+00 3.52E+02 2.95E+15 1.38E+02 2.20E+01    8   0 9.10E-05 2.89E+00 1.48E+00
  62 4.60E+00 3.47E+02 2.97E+15 1.39E+02 2.22E+01    8   0 9.52E-05 2.85E+00 1.45E+00
  63 4.90E+00 3.42E+02 2.99E+15 1.40E+02 2.23E+01    8   0 9.96E-05 2.80E+00 1.42E+00
  64 5.22E+00 3.37E+02 3.01E+15 1.41E+02 2.25E+01    8   0 1.04E-04 2.76E+00 1.39E+00
  65 5.56E+00 3.32E+02 3.04E+15 1.42E+02 2.27E+01    8   0 1.09E-04 2.72E+00 1.36E+00
